profiles linked from C:\Users\omris\TAU\hallucination_detection\.worktrees\readout-quickest-detection-v1\results\readout_family_v1
Anchors passed: {'token_lsml': 0.3592368825176495, 'token_equal': 0.32592621106812386}
pb_q4__fold1__evidence__all__spectral done in 4.9s
pb_q4__fold1__evidence30__all__spectral done in 4.7s
pb_q4__fold2__evidence__all__spectral done in 4.7s
pb_q4__fold2__evidence30__all__spectral done in 4.9s
pb_q4__fold3__evidence__all__spectral done in 5.7s
pb_q4__fold3__evidence30__all__spectral done in 5.5s
pb_q4__fold4__evidence__all__spectral done in 5.6s
pb_q4__fold4__evidence30__all__spectral done in 4.8s
pb_q8__fold0__evidence__all__spectral done in 4.6s
pb_q8__fold0__evidence30__all__spectral done in 4.9s
pb_q8__fold1__evidence__all__spectral done in 4.7s
pb_q8__fold1__evidence30__all__spectral done in 4.9s
pb_q8__fold2__evidence__all__spectral done in 4.8s
pb_q8__fold2__evidence30__all__spectral done in 5.1s
pb_q8__fold3__evidence__all__spectral done in 4.8s
pb_q8__fold3__evidence30__all__spectral done in 4.8s
pb_q8__fold4__evidence__all__spectral done in 4.4s
pb_q8__fold4__evidence30__all__spectral done in 4.5s
prm__fold0__evidence__all__spectral done in 4.7s
prm__fold0__evidence30__all__spectral done in 4.9s
prm__fold1__evidence__all__spectral done in 4.7s
prm__fold1__evidence30__all__spectral done in 4.6s
prm__fold2__evidence__all__spectral done in 4.7s
prm__fold2__evidence30__all__spectral done in 4.6s
prm__fold3__evidence__all__spectral done in 4.7s
prm__fold3__evidence30__all__spectral done in 4.9s
prm__fold4__evidence__all__spectral done in 4.5s
prm__fold4__evidence30__all__spectral done in 4.6s
prm__fold0__evidence__all__spectral__inner1 done in 6.0s
prm__fold0__evidence__all__spectral__inner2 done in 6.2s
prm__fold0__evidence__all__spectral__inner3 done in 6.0s
prm__fold0__evidence__all__spectral__inner4 done in 6.6s
prm__fold0__evidence30__all__spectral__inner1 done in 6.9s
prm__fold0__evidence30__all__spectral__inner2 done in 6.6s
prm__fold0__evidence30__all__spectral__inner3 done in 6.4s
prm__fold0__evidence30__all__spectral__inner4 done in 6.7s
prm__fold1__evidence__all__spectral__inner0 done in 6.2s
prm__fold1__evidence__all__spectral__inner2 done in 7.2s
prm__fold1__evidence__all__spectral__inner3 done in 6.8s
prm__fold1__evidence__all__spectral__inner4 done in 7.3s
prm__fold1__evidence30__all__spectral__inner0 done in 7.8s
prm__fold1__evidence30__all__spectral__inner2 done in 7.2s
prm__fold1__evidence30__all__spectral__inner3 done in 7.2s
prm__fold1__evidence30__all__spectral__inner4 done in 7.0s
prm__fold2__evidence__all__spectral__inner0 done in 7.2s
prm__fold2__evidence__all__spectral__inner1 done in 6.6s
prm__fold2__evidence__all__spectral__inner3 done in 6.6s
prm__fold2__evidence__all__spectral__inner4 done in 6.3s
prm__fold2__evidence30__all__spectral__inner0 done in 6.8s
prm__fold2__evidence30__all__spectral__inner1 done in 6.8s
prm__fold2__evidence30__all__spectral__inner3 done in 7.5s
prm__fold2__evidence30__all__spectral__inner4 done in 6.6s
prm__fold3__evidence__all__spectral__inner0 done in 6.3s
prm__fold3__evidence__all__spectral__inner1 done in 6.5s
prm__fold3__evidence__all__spectral__inner2 done in 6.5s
prm__fold3__evidence__all__spectral__inner4 done in 6.6s
prm__fold3__evidence30__all__spectral__inner0 done in 6.6s
prm__fold3__evidence30__all__spectral__inner1 done in 6.9s
prm__fold3__evidence30__all__spectral__inner2 done in 6.4s
prm__fold3__evidence30__all__spectral__inner4 done in 7.0s
prm__fold4__evidence__all__spectral__inner0 done in 6.4s
prm__fold4__evidence__all__spectral__inner1 done in 6.3s
prm__fold4__evidence__all__spectral__inner2 done in 6.2s
prm__fold4__evidence__all__spectral__inner3 done in 6.5s
prm__fold4__evidence30__all__spectral__inner0 done in 6.6s
prm__fold4__evidence30__all__spectral__inner1 done in 6.8s
prm__fold4__evidence30__all__spectral__inner2 done in 6.4s
prm__fold4__evidence30__all__spectral__inner3 done in 6.4s
exit 1
