method,k,no_laplacian_family_delta_vs_iu_pp,best_family_delta_vs_iu_pp,best_lambda,best_positive_lambda_family_delta_vs_iu_pp,best_positive_lambda,best_laplacian_gain_over_same_space_pp
uc_obs,1,-0.17165219735967158,-0.17165219735967158,0.0,-0.17165219735967158,0.003,0.0
uc_obs,2,-0.3073026203217158,-0.11671099452865846,0.3,-0.11671099452865846,0.3,0.19059162579305733
uc_obs,3,-0.273436697841839,-0.22243608030840245,0.3,-0.22243608030840245,0.3,0.05100061753343654
uc_obs,4,-0.33352673466455346,-0.25019443515472417,0.3,-0.25019443515472417,0.3,0.08333229950982929
uc_obs,5,-0.4469401908087908,-0.15322122272328764,3.0,-0.15322122272328764,3.0,0.2937189680855032
uc_obs,6,-0.5303964390180924,-0.2246773964109508,1.0,-0.2246773964109508,1.0,0.3057190426071416
uc_obs,7,-0.7123467408599093,-0.2557572851407411,3.0,-0.2557572851407411,3.0,0.45658945571916826
uc_obs,8,-1.0597124563564362,-0.35857216079589055,3.0,-0.35857216079589055,3.0,0.7011402955605457
uc_obs,9,-1.1761305686335988,-0.3317735685958556,3.0,-0.3317735685958556,3.0,0.8443570000377432
uc_obs,10,-1.5040042343478803,-0.38591115067428683,10.0,-0.38591115067428683,10.0,1.1180930836735934
uc_obs,11,-1.5407494130583885,-0.39188127772813025,10.0,-0.39188127772813025,10.0,1.1488681353302583
uc_obs,12,-1.6552651199246717,-0.3537841054732302,10.0,-0.3537841054732302,10.0,1.3014810144514415
uc_obs,13,-1.8695494995610877,-0.34979992805419663,30.0,-0.34979992805419663,30.0,1.5197495715068912
uc_obs,14,-2.2170958038569957,-0.35036831556672643,10.0,-0.35036831556672643,10.0,1.8667274882902691
uc_obs,15,-2.3673032153782914,-0.3636639475802825,10.0,-0.3636639475802825,10.0,2.003639267798009
uc_obs,16,-2.5228790763139677,-0.3740592501047482,10.0,-0.3740592501047482,10.0,2.1488198262092193
uc_obs,17,-2.7939661868679244,-0.4373092434176204,10.0,-0.4373092434176204,10.0,2.356656943450304
uc_obs,18,-3.0350992219776467,-0.41693384558975505,10.0,-0.41693384558975505,10.0,2.618165376387892
