arm,held_group,rho_mode,clean_mode,pooling,selected_variant,selected_alpha,selected_lambda,selected_trust,selection_best_mean_pp,selection_one_se_pp,selection_selected_mean_pp,selection_selected_worst_pp,selection_eligible_count,selection_guarded_count,independent_upstream_variant,graph_delta_vs_iu_pp,matched_upstream_delta_vs_iu_pp,graph_increment_pp,independent_upstream_delta_vs_iu_pp,direction,source_group_weights
iu_observed_mean,gsm8k,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.5513108690192902,0.30029378129386863,0.2855474369361545,-0.266187100662707,23,12,iu__observed__a0,0.364972689348223,0.0,0.364972689348223,0.0,"[0.0018462699319978565, -1.8984219841172484e-06, -0.002263268170169343, 0.0025594919604994275, -0.0019735747508316873, 0.005984041411956565]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,hotpotqa,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.5704915690823575,0.25393435099514466,0.32051027451554714,-0.19504650457075057,21,14,iu__observed__a0,0.13407461699351808,0.0,0.13407461699351808,0.0,"[0.0020662560403510214, -7.152633935154714e-05, -0.0021738990427975463, 0.0026868328935450415, -0.0015469705953635182, 0.004270387711256721]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,math500,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.43964030860385117,0.2888135264120978,0.2403159296709167,-0.3349280021703427,23,9,iu__observed__a0,0.22821638551575818,0.0,0.22821638551575818,0.0,"[0.001633614839023014, 0.0005143310086902233, -0.0027478561910486725, 0.002526574200178674, -0.0022497925792711753, 0.0052169428670589746]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,nq_open,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.4613867604533804,0.2255166093036117,0.29304342386849,-0.1408553755021284,22,16,iu__observed__a0,-0.2769493672833079,0.0,-0.2769493672833079,0.0,"[0.0014850474868902575, 0.0005894799667108417, -0.0034878417600211187, 0.002191999854425802, -0.0013470876796444634, 0.004420693559180905]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,sciq,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.37232210435344315,0.2514905015302145,0.22274631556980215,-0.2893002429061431,21,12,iu__observed__a0,0.5696707303178727,0.0,0.5696707303178727,0.0,"[0.00175872947644499, 5.19818489188277e-05, -0.0019560132070538735, 0.002461501921735172, -0.0020703878722010812, 0.0047848069365083]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,squad_v2,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.3348892514424938,0.2757450962145474,0.1824901858802179,-0.2969412284590356,18,8,iu__observed__a0,0.5911142405319092,0.0,0.5911142405319092,0.0,"[0.0016285913009130796, 0.00046103852417542235, -0.003176464394115288, 0.0023286055569636697, -0.0017486884597059456, 0.005129149576166355]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,triviaqa,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.5004906082689315,0.24430776821641548,0.27433448437150393,-0.30858170498578863,22,8,iu__observed__a0,-0.15730237864075197,0.0,-0.15730237864075197,0.0,"[0.001501110423605432, 0.00045706075426673747, -0.0027280391249723556, 0.0023619631338094335, -0.0017579472922965376, 0.00428121890386439]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,truthfulqa,iu,observed,mean,iu__observed__a0,0.0,0.03,0.5,0.3307238525251155,0.23748495792174726,0.20975508634354248,-0.19149450909045074,16,14,iu__observed__a0,0.5580174386336623,0.0,0.5580174386336623,0.0,"[0.0016171279309481368, 0.0002347778647111568, -0.0033076819748783645, 0.002300138025985071, -0.001061449122877753, 0.00331611809938392]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
su_observed_mean,gsm8k,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.008932896239486333,0.7097159157096129,-0.1825791348181863,-3.4394044885552866,24,0,su__observed__a0,0.21097918767618687,-0.16636856186230786,0.3773477495384947,-0.16636856186230786,"[0.0016550611371837628, 0.0001329524680750754, -0.0019439996211964917, 0.0019532396782684794, -0.0020630227559212204, 0.00560484694726712]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,hotpotqa,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.04386804501466098,0.7092910062703651,-0.21196465227705602,-3.5335938575051316,24,0,su__observed__a0,0.17519083287151904,0.08580775487584402,0.08938307799567502,0.08580775487584402,"[0.0019393923790746194, 0.00014210055153623531, -0.0021017438941255844, 0.001971512875523549, -0.0016175462050164366, 0.003950662733694789]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,math500,su,observed,mean,su__observed__a0,0.0,0.03,0.5,-0.1144134402356537,0.5912172342696227,-0.2553468538938403,-3.4592433944875065,24,0,su__observed__a0,0.1636962056100666,0.029032832912723183,0.1346633726973434,0.029032832912723183,"[0.0014637461282864185, 0.000717492377854883, -0.0024930409134419945, 0.0017256564428074575, -0.002313568788720805, 0.004920433173868666]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
