arm,selected_variant,selected_alpha,selected_graph,selected_lambda,selected_trust,cross_validated_delta_vs_iu_pp,independent_upstream_variant,independent_upstream_alpha,upstream_cross_validated_delta_vs_iu_pp
iu_observed_mean,iu__observed__a0,0.0,union_k7,3.0,1.0,0.46019871001964135,iu__observed__a0,0.0,0.0
su_observed_mean,su__observed__a0,0.0,union_k15,1.0,1.0,-0.07944922362532675,su__observed__a0,0.0,-0.4108228399242803
iu_all_sparse_mean,iu__all_sparse__a0p5,0.5,union_k15,3.0,1.0,0.49091240403682324,iu__all_sparse__a0p25,0.25,0.016569535339623676
su_all_sparse_mean,su__all_sparse__a1,1.0,union_k7,10.0,1.0,0.43265448867721523,su__all_sparse__a1,1.0,-0.011255247334359357
iu_cross_sparse_mean,iu__cross_sparse__a0p25,0.25,union_k7,3.0,1.0,0.4818424620286179,iu__cross_sparse__a0p25,0.25,0.00515847112962306
su_cross_sparse_mean,su__cross_sparse__a1,1.0,union_k7,3.0,1.0,0.35502427535998426,su__cross_sparse__a1,1.0,-0.11908710591302968
iu_shared_cross_mean,iu__shared_cross__a1,1.0,union_k15,3.0,1.0,0.47453667572818387,iu__shared_cross__a1,1.0,0.007395503780416125
su_shared_cross_mean,su__shared_cross__a1,1.0,union_k15,3.0,1.0,-0.0563373159938528,su__shared_cross__a1,1.0,-0.3937750016016062
iu_observed_geomedian,iu__observed__a0,0.0,union_k15,3.0,1.0,0.4815396168611533,iu__observed__a0,0.0,0.0
iu_cross_sparse_geomedian,iu__cross_sparse__a0p25,0.25,union_k15,10.0,1.0,0.49730934869352295,iu__cross_sparse__a0p25,0.25,0.00515847112962306
