arm,held_group,rho_mode,clean_mode,pooling,selected_variant,selected_alpha,selected_graph,selected_lambda,selected_trust,independent_upstream_variant,independent_upstream_alpha,graph_delta_vs_iu_pp,matched_upstream_delta_vs_iu_pp,graph_increment_pp,independent_upstream_delta_vs_iu_pp,direction,source_group_weights
iu_observed_mean,gsm8k,iu,observed,mean,iu__observed__a0,0.0,union_k7,10.0,1.0,iu__observed__a0,0.0,0.6627301558383603,0.0,0.6627301558383603,0.0,"[0.17055257726173823, -0.009939639405035675, -0.03873174049556775, 0.0612269240939305, -0.12586669288969582, 0.1579972247711869]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,hotpotqa,iu,observed,mean,iu__observed__a0,0.0,union_k7,3.0,1.0,iu__observed__a0,0.0,0.08580775487584402,0.0,0.08580775487584402,0.0,"[0.12162084538941906, 0.0030086402279773552, -0.03731626049531431, 0.06098762105530632, -0.07501436477341603, 0.09900985557447524]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,math500,iu,observed,mean,iu__observed__a0,0.0,union_k15,3.0,1.0,iu__observed__a0,0.0,0.35969977921801455,0.0,0.35969977921801455,0.0,"[0.09117668679494809, -0.002024308811678331, -0.041075781381311946, 0.035963177826209294, -0.07592141751134009, 0.10448554446951011]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,nq_open,iu,observed,mean,iu__observed__a0,0.0,union_k15,3.0,1.0,iu__observed__a0,0.0,-0.5119236572687869,0.0,-0.5119236572687869,0.0,"[0.07895617643764294, 0.00868328645218848, -0.04702398918026515, 0.031150114241105427, -0.05091025151266692, 0.09047485108162309]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,sciq,iu,observed,mean,iu__observed__a0,0.0,union_k15,3.0,1.0,iu__observed__a0,0.0,1.5608978010709817,0.0,1.5608978010709817,0.0,"[0.09680515856161734, -0.006544025815353715, -0.027214886527539617, 0.040419300355291954, -0.06842469982401328, 0.10747695890753872]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,squad_v2,iu,observed,mean,iu__observed__a0,0.0,union_k7,10.0,1.0,iu__observed__a0,0.0,0.902196622534146,0.0,0.902196622534146,0.0,"[0.15766514614568763, -0.0026624894278914147, -0.06704373225898438, 0.04974683402098993, -0.12722572364880816, 0.13519999820673984]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,triviaqa,iu,observed,mean,iu__observed__a0,0.0,union_k7,3.0,1.0,iu__observed__a0,0.0,-0.4326654999347664,0.0,-0.4326654999347664,0.0,"[0.09732930255710415, 0.0087952876855986, -0.047012243704891266, 0.05096257711271018, -0.07091991711037152, 0.09413129120259858]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_observed_mean,truthfulqa,iu,observed,mean,iu__observed__a0,0.0,union_k7,3.0,1.0,iu__observed__a0,0.0,0.9861037246568172,0.0,0.9861037246568172,0.0,"[0.08672840899285682, -7.578589715437484e-06, -0.06121981170688172, 0.04811574899739172, -0.05612373932980083, 0.07122463163246998]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
su_observed_mean,gsm8k,su,observed,mean,su__observed__a0,0.0,union_k5,3.0,1.0,su__observed__a0,0.0,0.5535849506601354,-0.16636856186230786,0.7199535125224432,-0.16636856186230786,"[0.09625162684647282, -0.010650082353779565, -0.0335342707355262, 0.03921601437371521, -0.07331419885990366, 0.12069739937347569]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_observed_mean,hotpotqa,su,observed,mean,su__observed__a0,0.0,union_k15,1.0,1.0,su__observed__a0,0.0,0.3325050501439053,0.08580775487584402,0.24669729526806128,0.08580775487584402,"[0.04924469161007934, -0.0026486290438283632, -0.02389634268422702, 0.018348667451888612, -0.03177027964231771, 0.06944993723527366]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
