cell,domain,group,n,n_correct,iu_auroc,current_auroc,primary_auroc,current_delta_vs_iu_pp,primary_delta_vs_iu_pp,primary_minus_current_pp
llama31_8b__gsm8k,processbench_llama,gsm8k,400,193,0.7734975344797377,0.7793046481940377,0.7789542189181748,0.5807113714299983,0.5456684438437165,-0.0350429275862818
llama31_8b__math,processbench_llama,math,1000,406,0.7864440795475278,0.7904579456303594,0.7905325836360318,0.40138660828316075,0.408850408850403,0.007463800567242274
llama31_8b__olympiadbench,processbench_llama,olympiadbench,1000,339,0.7513198470182391,0.7573266571164634,0.756983028306981,0.6006810098224347,0.5663181288741992,-0.034362880948235475
llama31_8b__omnimath,processbench_llama,omnimath,1000,241,0.7990093976022173,0.8067013268167877,0.8062038388576365,0.7691929214570403,0.7194441255419126,-0.04974879591512771
qwen3_4b__gsm8k,processbench_qwen,gsm8k,400,193,0.7654126304723285,0.7629345948787264,0.7629596255412879,-0.2478035593602157,-0.24530049310406143,0.0025030662561542627
qwen3_4b__math,processbench_qwen,math,1000,406,0.7927634306944652,0.7939244663382594,0.7938912938912939,0.11610356437942171,0.11278631968286712,-0.0033172446965545888
qwen3_4b__olympiadbench,processbench_qwen,olympiadbench,1000,339,0.7840672262907278,0.7885968787793591,0.7883425042061059,0.4529652488631353,0.4275277915378073,-0.025437457325327983
qwen3_4b__omnimath,processbench_qwen,omnimath,1000,241,0.8288258737473962,0.8334836731012087,0.8332431294726081,0.46577993538124973,0.44172557252118994,-0.024054362860059797
qwen3_8b__gsm8k,processbench_qwen,gsm8k,400,193,0.7528972991915097,0.751770919376236,0.7517208580511126,-0.11263798152737481,-0.11764411403971664,-0.005006132512341832
qwen3_8b__math,processbench_qwen,math,1000,406,0.7929873447114826,0.7929914912673534,0.7928878273705859,0.00041465558707765027,-0.009951734089663766,-0.010366389676741417
qwen3_8b__olympiadbench,processbench_qwen,olympiadbench,1000,339,0.7829515483378631,0.7863699855854408,0.7861691635539252,0.34184372475777325,0.32176152160621196,-0.020082203151561284
qwen3_8b__omnimath,processbench_qwen,omnimath,1000,241,0.8310454354113024,0.8318108015023042,0.8314390522581033,0.07653660910018623,0.03936168468009482,-0.037174924420091404
semgrad__sciq,semgrad,sciq,1000,612,0.7449590661006671,0.7466183208678661,0.7465635738831616,0.165925476719897,0.16045077824945464,-0.005474698470442352
semgrad__truthfulqa,semgrad,truthfulqa,817,315,0.6941756782394233,0.6976475052172263,0.6975842661101624,0.34718269778030164,0.3408587870739166,-0.00632391070638505
