subset,feature,n_cells,mean_abs_w,cv_abs_w,sign_agreement,mean_pairwise_ARI
GOOD_5,epr,48,0.2038,0.166,1.0,0.231
GOOD_5,spectral_entropy,48,0.2017,0.291,0.833,0.231
GOOD_5,low_band_power,48,0.1913,0.161,0.938,0.231
GOOD_5,sw_var_peak,48,0.196,0.214,1.0,0.231
GOOD_5,cusum_max,48,0.2072,0.127,0.938,0.231
consensus,epr,45,0.1928,0.201,1.0,0.311
consensus,spectral_entropy,45,0.1914,0.309,0.8,0.311
consensus,rpdi,45,0.1169,0.529,0.711,0.311
consensus,sw_var_peak,45,0.1874,0.262,1.0,0.311
consensus,cusum_max,45,0.2053,0.218,0.956,0.311
consensus,cusum_shift_idx,45,0.1062,0.569,0.733,0.311
