method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,valid_answers,within_answers,pb_gsm8k_q4,pb_gsm8k_q8,pb_math_q4,pb_math_q8,pb_olympiadbench_q4,pb_olympiadbench_q8,pb_omnimath_q4,pb_omnimath_q8
"Surprisal powers 1..1, incl chosen token / Normalized equal weights",d1__equal,20.512656525081134,19.783249746448973,21.24206330371329,0.4316816156524087,0.44930770247100543,0.4643318432752085,13769,6030,22.647713649597534,29.872075602166646,24.117626724127998,24.145007745574436,15.282664536879143,13.91515740853288,17.08499407519121,17.036012458579204
"Surprisal powers 1..1, incl chosen token / IU-PCR",d1__iu,27.464559744845822,28.249898672105278,26.679220817586373,0.7346211488948545,0.6739344915775347,0.5887271885606155,13769,6030,34.77168744953799,33.6039483566396,29.415590045955085,28.617041024689065,23.364210277892496,21.466464152853906,25.448106915035535,23.029429736162914
"Surprisal powers 1..2, incl chosen token / Normalized equal weights",d2__equal,20.351384179333508,19.4177842908684,21.28498406779861,0.4301422855017096,0.4470088000773098,0.4637312569497829,13769,6030,21.368322399250232,29.872075602166646,24.117626724127998,24.145007745574436,15.282664536879143,13.91515740853288,16.902523503216234,17.20769551492048
"Surprisal powers 1..2, incl chosen token / IU-PCR",d2__iu,27.63671214857507,28.0772664716416,27.19615782550855,0.7281750937508404,0.6670800107848996,0.584150361277903,13769,6030,34.287776708373435,31.429317613699958,30.328369729521114,29.72295867487169,22.24481253363631,23.050424148473496,25.448106915035535,24.581930864989047
"Surprisal powers 1..3, incl chosen token / Normalized equal weights",d3__equal,20.29916669072583,19.469816002221386,21.12851737923028,0.42933779473146055,0.4456381651361534,0.4637259383486186,13769,6030,21.368322399250232,29.872075602166646,24.325753569539927,23.96049068026127,15.282664536879143,13.473807719572712,16.902523503216234,17.20769551492048
"Surprisal powers 1..3, incl chosen token / IU-PCR",d3__iu,33.00504036905886,33.556761861746345,32.45331887637138,0.7341053209689961,0.6716344060117692,0.5911667925858141,13769,6030,40.17115529826329,37.15596330275229,34.609675254692235,32.25603137364754,27.39213411667852,28.60260709112914,32.054082777351354,31.798673737956545
Direct probability + change IU-PCR (34 inputs),ref__delta_iu,34.80850537033642,35.55079175814064,34.06621898253219,0.7369310120605546,0.7069415197528663,0.623944861874893,13769,6030,42.616822429906534,39.43973694195017,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.9686549170446,32.864090094701815
Direct probability IU-PCR (17 inputs),ref__direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769,6030,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
Token entropy reference,ref__entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
Top-15 varentropy / Normalized equal weights,ref__k15__equal,35.598043643273556,36.12819032849405,35.067896958053055,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,6030,43.78300528084493,40.5,32.44005641748942,33.10201967892284,34.789685163521696,33.597156571763584,33.50001445212013,33.07241158152582
Top-15 varentropy / IU-PCR learned weights,ref__k15__iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,0.710261309641098,0.6226885909285921,13769,6030,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
Top-15 varentropy / Original sum,ref__k15__raw,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,6030,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
Top-50 varentropy / Normalized equal weights,ref__k50__equal,34.87403074470651,35.243554110610184,34.50450737880282,0.7463228077696503,0.7172822630254639,0.6272901548806193,13769,6030,41.003790498851785,39.97626038608109,32.44005641748942,32.398695854680945,33.67826581036175,33.09440236467763,33.8521037157378,32.54867090977162
Top-50 varentropy / IU-PCR learned weights,ref__k50__iu,34.41389288615792,34.606834206290834,34.22095156602501,0.7458324345111156,0.7205546045235346,0.6284092525263825,13769,6030,39.74805983578899,39.16653411802132,32.095604822209864,31.968664610477187,32.965886566748964,33.09440236467763,33.6177856004155,32.654205170923866
Top-50 varentropy / Original sum,ref__k50__raw,35.67552412698325,36.08075114834269,35.27029710562382,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,6030,43.398300313664514,40.5,32.95128939828081,32.112689238832864,34.23826690130017,34.57809177089716,33.73514798012529,33.89040741276524
