version,split,replicate,seed,task,draw,budget,gate_source,feature,planted_role,gate_value,raw_correlation,fallback,fallback_reason,raw_probability
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,0,signal,1.3333921891314156,,False,,0.9998305856965661
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,0,signal,1.2921015515713081,0.9436905670547269,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,1,signal,1.3329661031891271,,False,,0.9995110894817931
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,1,signal,1.2665975581574278,0.9250636425861074,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,2,signal,1.3327376826923627,,False,,0.9993398106930568
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,2,signal,1.2485111845299035,0.9118542008330456,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,3,signal,1.3330354503146975,,False,,0.9995630887193322
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,3,signal,1.239201957425577,0.9050551765657658,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,4,signal,1.3330892967492776,,False,,0.9996034649212199
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,4,signal,1.2078639227327042,0.8821673410905015,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,5,signal,1.3309209755840359,,False,,0.9979775713257024
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,5,signal,1.1268019425205007,0.8229634604202819,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,6,signal,0.8681519413829663,,False,,0.650974912783889
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,6,signal,1.065601490445694,0.7782655113680222,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,7,signal,0.7636440316370643,,False,,0.5726107184659105
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,7,signal,1.0339610365256384,0.7551568030274315,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,8,weak_signal,0.03453869012989903,,False,,0.02589848587928521
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,8,weak_signal,0.5739729337788264,0.4192029973906531,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,9,weak_signal,0.06038329429808059,,False,,0.04527779973247453
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,9,weak_signal,0.607583552445156,0.44375062195601095,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,10,noise,0.03502211390106721,,False,,0.026260976282488763
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,10,noise,0.0,-0.03247587312616296,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,dufs,11,noise,0.026647073028038225,,False,,0.019981036974633732
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,-1,0,pseudo_anchor,11,noise,0.0,-0.028744987498294666,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,0,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,1,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,2,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,3,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,4,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,5,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,6,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,7,signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,8,weak_signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,9,weak_signal,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,10,noise,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,4,ta_liu,11,noise,1.0,0.0,True,one_class,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,0,signal,1.417838115922672,0.704966808599297,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,1,signal,1.357547968643119,0.6749897948342317,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,2,signal,1.4413618208888261,0.7166630883298142,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,3,signal,1.0343213227014645,0.5142774719782064,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,4,signal,0.819140773651337,0.40728701712095655,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,5,signal,1.274462733529872,0.6336787788714597,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,6,signal,1.1510258983439206,0.5723044436865087,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,7,signal,0.8953788731782854,0.44519355180472264,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,8,weak_signal,0.7577575210378668,0.3767664977397985,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,9,weak_signal,0.010044392453696665,0.004994197301427034,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,10,noise,0.05589550876699958,0.027791944643033428,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,8,ta_liu,11,noise,0.01488699910658146,0.007402001774340575,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,0,signal,1.3218408026344146,0.784533216892966,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,1,signal,1.3274113920782922,0.7878394489654555,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,2,signal,1.215282775148968,0.7212893588411372,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,3,signal,1.1922657553601905,0.7076283971412183,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,4,signal,1.0165130018719306,0.6033163855910075,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,5,signal,1.1498906530219948,0.6824781102932884,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,6,signal,1.050891631941134,0.623720640919495,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,7,signal,0.9910365000592392,0.5881956827934723,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,8,weak_signal,0.5739878124678316,0.34067075556699145,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,9,weak_signal,0.7002719844888899,0.41562238931962786,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,10,noise,0.5747951018893444,0.3411498944811185,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,16,ta_liu,11,noise,0.0,-0.31031278222177894,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,0,signal,1.4020783858284895,0.6790092613765719,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,1,signal,1.3554336460079395,0.6564197894520484,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,2,signal,1.225831537738587,0.5936550876363081,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,3,signal,1.2766583960181876,0.6182699079254963,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,4,signal,1.048939917223825,0.5079886585668237,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,5,signal,1.1508884493281,0.5573610746758167,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,6,signal,1.0581776968686767,0.5124624012596788,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,7,signal,1.0030538700012908,0.4857666121056676,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,8,weak_signal,0.5583255038867363,0.2703901521011036,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,9,weak_signal,0.36467449875144786,0.17660735986153503,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,10,noise,0.2628023532556327,0.12727193684445015,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,32,ta_liu,11,noise,0.0,-0.10941578704894994,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,0,signal,1.3684571115918682,0.7037054192661967,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,1,signal,1.326326608136286,0.6820405359848939,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,2,signal,1.2823225506430849,0.6594122099194569,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,3,signal,1.1865484565574775,0.6101620372524067,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,4,signal,1.121814500747002,0.5768737192419288,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,5,signal,1.1315107812810996,0.58185986393055,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,6,signal,1.0017761380552215,0.5151460657915514,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,7,signal,0.9925206156449086,0.5103865733506809,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,8,weak_signal,0.5127818987308477,0.2636892292654675,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,9,weak_signal,0.7069712743867428,0.3635477596172233,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,10,noise,0.11913546232955681,0.06126335254348583,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,0,64,ta_liu,11,noise,0.10747351431641336,0.05526639732542764,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,0,signal,0.9637818386952283,0.5835540174142526,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,1,signal,1.3148307207122178,0.7961083291733652,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,2,signal,0.5505927842565591,0.3333748555038057,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,3,signal,0.6276907061797067,0.3800563764312512,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,4,signal,1.5289793109843661,0.9257717707942323,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,5,signal,1.0030723449257704,0.6073437713155222,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,6,signal,1.3238308852261504,0.8015577804377766,False,,
target-anchored-liu-synthetic-v1-2026-08-06,development,0,40000,smooth_signal,1,4,ta_liu,7,signal,0.5173448267007581,0.31324376522639114,False,,
