version,split,task,budget,method,n_datasets,auroc_mean,auroc_se,auprc_mean,auprc_se,auroc_delta_vs_iu_mean,auroc_delta_vs_iu_se,auprc_delta_vs_iu_mean,auprc_delta_vs_iu_se,fallback_fraction_mean,fallback_fraction_se
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,dufs_liu,8,0.8874065770035893,0.006179759126658892,0.8917427311274078,0.0065474329412668975,-0.00016743198038925416,0.00011746721691226791,-0.00029259859773698906,0.0001149154120377961,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,full_logistic,8,0.7531362510241282,0.025833338634515843,0.7593833078441075,0.026296872814050267,-0.1344377579598505,0.024134696835159702,-0.13265202188103709,0.023417972281488873,0.1640625,0.04248407658632652
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,iu,8,0.8875740089839786,0.006164811934781444,0.8920353297251447,0.006521329267817296,0.0,0.0,0.0,0.0,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,oracle_latent,8,0.8878585671020597,0.006128904143032561,0.8923758366835475,0.006464097457303358,0.0002845581180810951,0.00021961688812108067,0.0003405069584026966,0.00017109051343472994,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,projected_ridge,8,0.8875550220588952,0.006164797525429927,0.8920208817436088,0.006519448682807182,-1.8986925083366163e-05,1.010649000026619e-05,-1.4447981535783971e-05,7.760629316291162e-06,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,pseudo_anchor,8,0.8875079241735985,0.0061667538967036676,0.8919722085721908,0.00651761736400166,-6.608481038012162e-05,7.940905966953635e-05,-6.312115295389192e-05,7.283585613403379e-05,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,ta_liu,8,0.8871871224763935,0.00618867805105149,0.8917315817358515,0.006502598633105489,-0.0003868865075850698,0.0001631225187402199,-0.0003037479892932047,0.0001972766786533385,0.1640625,0.04248407658632652
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,4,u2_logistic,8,0.7317640313096074,0.024388918599154815,0.7359406796108652,0.025375829081272158,-0.1558099776743711,0.022327197684166137,-0.15609465011427956,0.02229348150093757,0.1640625,0.04248407658632652
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,dufs_liu,8,0.8876885506583269,0.006124954310145519,0.8920435710950022,0.0064892261410443115,-0.00016622353693090258,0.0001162348729850105,-0.00028573178829353636,0.00011088539665011037,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,full_logistic,8,0.8285946375035858,0.016634962140366038,0.8340028398748901,0.015602717221224725,-0.05926013669167211,0.012952844471023659,-0.05832646300840567,0.010986347550449076,0.03125,0.01181138978153835
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,iu,8,0.8878547741952578,0.0061089025743221856,0.8923293028832958,0.006466333629692549,0.0,0.0,0.0,0.0,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,oracle_latent,8,0.8881382852978947,0.006078643482024727,0.8926604276147438,0.0064166521306409695,0.0002835111026370119,0.00021955180923406923,0.0003311247314479798,0.00016999047029918186,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,projected_ridge,8,0.8878351003875302,0.006108943846228201,0.8923141887702173,0.006464456360135782,-1.967380772747128e-05,1.0273022847527257e-05,-1.5114113078478972e-05,7.633873550824497e-06,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,pseudo_anchor,8,0.8877849049704396,0.006112976082655655,0.8922638529916548,0.006462561303635443,-6.986922481821457e-05,7.96357059105177e-05,-6.544989164101577e-05,7.18722804810146e-05,0.0,0.0
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,ta_liu,8,0.8875760675972828,0.006125575401825364,0.8920951037240562,0.006481435861132786,-0.0002787065979748841,0.0001067723349130328,-0.00023419915923957382,0.0001476001593145116,0.03125,0.01181138978153835
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,8,u2_logistic,8,0.8193805934971646,0.017711088109191437,0.8240357346395548,0.016611819246604594,-0.06847418069809312,0.013987968201905393,-0.06829356824374096,0.012127996587885805,0.03125,0.01181138978153835
target-anchored-liu-synthetic-v1-2026-08-06,development,correlated_errors,16,dufs_liu,8,0.8876638179375167,0.006183966780688428,0.8920004456619925,0.006528015119485579,-0.00016455302151550423,0.0001145972821382957,-0.0002838500915063264,0.00010938383259706377,0.0,0.0
