version,replicate,seed,basis,coordinate_map,source_prior_in_reference,max_principal_angle_rad,projector_fro,covariance_orthonormality_reference,covariance_orthonormality_source,coordinate_map_orthogonality,relative_reconstruction,geometrically_equivalent
u2-prior-reconciliation-v1-2026-08-06,0,240006,current,"[[0.9446787835618295, -0.3279969449372073], [-0.3279969449372075, -0.9446787835618299]]","[0.9446787835618295, -0.3279969449372075]",1.0918848903267081e-15,1.6238086635050657e-15,6.061768485299758e-16,2.493215077580906e-16,5.919894240256935e-16,9.284171802027204e-16,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,historical,"[[0.9997698496517389, -0.021453384985559307], [0.021117005104411547, 0.9840938869339158]]","[0.9997698496517389, 0.021117005104411547]",0.5185655092244404,0.7009333832154742,6.061768485299758e-16,5.6597165189998634e-15,0.031113293794717698,0.3988450058089659,False
u2-prior-reconciliation-v1-2026-08-06,1,241015,current,"[[0.9795474813517274, -0.2012131501107411], [-0.20121315011074176, -0.9795474813517276]]","[0.9795474813517274, -0.20121315011074176]",6.89774688245614e-16,1.1928743711247234e-15,9.959303042764646e-16,1.0308684772166404e-15,1.4878668707322921e-15,8.677372542044323e-16,True
u2-prior-reconciliation-v1-2026-08-06,1,241015,historical,"[[0.999896183724913, -0.014409086451123562], [-0.0032332647756278484, -0.2243673893615752]]","[0.999896183724913, -0.0032332647756278484]",1.498562209182097,1.410525647391746,9.959303042764646e-16,5.0471971773232594e-15,0.9496488205899619,0.9645427734021617,False
u2-prior-reconciliation-v1-2026-08-06,2,242024,current,"[[0.9052001821965907, 0.42498544698760987], [-0.4249854469876101, 0.9052001821965909]]","[0.9052001821965907, -0.4249854469876101]",6.044735268649919e-16,1.0908521373821428e-15,4.978274877228174e-16,3.538609475961349e-16,4.447546853467293e-16,4.611960628532022e-16,True
u2-prior-reconciliation-v1-2026-08-06,2,242024,historical,"[[0.9994425019555987, 0.03338690289219379], [-0.03306013526756515, 0.9896606586570984]]","[0.9994425019555987, -0.03306013526756515]",0.43574015434730057,0.5969133954153866,4.978274877228174e-16,4.74272288580183e-15,0.019478808162488478,0.3347615247386307,False
u2-prior-reconciliation-v1-2026-08-06,3,243033,current,"[[0.9071549524973284, 0.4207967349678107], [-0.4207967349678109, 0.9071549524973282]]","[0.9071549524973284, -0.4207967349678109]",4.1870066392410033e-16,6.966993737603317e-16,4.450330108881203e-16,5.382102844095564e-16,3.398965578364595e-16,4.283483731006387e-16,True
u2-prior-reconciliation-v1-2026-08-06,3,243033,historical,"[[0.9783580759403565, 0.20691900647906647], [0.18346175072522974, -0.8674470678281768]]","[0.9783580759403565, 0.18346175072522974]",1.0525264976730857,1.2284955978378171,4.450330108881203e-16,1.1330889258956045e-15,0.21387737053713202,0.7876738360274317,False
u2-prior-reconciliation-v1-2026-08-06,4,244042,current,"[[-0.8485502578448806, -0.5291147889743644], [-0.5291147889743639, 0.8485502578448805]]","[-0.8485502578448806, -0.5291147889743639]",2.762479846811653e-16,4.1958797771301576e-16,9.596209022954993e-16,2.6295926925197696e-16,1.4053817236557566e-15,8.504037774471708e-16,True
u2-prior-reconciliation-v1-2026-08-06,4,244042,historical,"[[-0.9142377424693127, -0.40517817098730063], [0.2823709588195371, -0.6371374531382626]]","[-0.9142377424693127, 0.2823709588195371]",1.283627779318827,1.3563010834005729,9.596209022954993e-16,8.647443859730649e-16,0.5143225074238235,0.9106327157014171,False
u2-prior-reconciliation-v1-2026-08-06,5,245051,current,"[[0.9924513579218625, -0.12263890964555883], [-0.12263890964555732, -0.9924513579218628]]","[0.9924513579218625, -0.12263890964555732]",1.379019924120853e-15,1.9428655111720323e-15,7.040845737766783e-16,1.977449734663459e-15,2.2435228577904906e-15,1.2030260815539515e-15,True
u2-prior-reconciliation-v1-2026-08-06,5,245051,historical,"[[0.9938934226457732, -0.11034429945162783], [0.10865496134885413, 0.9786772126801099]]","[0.9938934226457732, 0.10865496134885413]",0.5069504731046327,0.6866198092686185,7.040845737766783e-16,2.6935114890514413e-15,0.030385012754969996,0.3953388429058154,False
u2-prior-reconciliation-v1-2026-08-06,6,246060,current,"[[-0.8135251657600093, -0.5815297109135091], [-0.5815297109135088, 0.8135251657600091]]","[-0.8135251657600093, -0.5815297109135088]",4.99671882959763e-16,6.903589203182112e-16,5.08904257812549e-16,5.056228617610754e-16,6.432951547941945e-16,3.851120001785327e-16,True
u2-prior-reconciliation-v1-2026-08-06,6,246060,historical,"[[-0.9929343904256406, -0.11866463799321808], [0.07007871372113605, -0.5863883804582678]]","[-0.9929343904256406, 0.07007871372113605]",1.378242039827599,1.3880769615829758,5.08904257812549e-16,7.217701528125244e-16,0.6512376411467209,0.9477434130115497,False
u2-prior-reconciliation-v1-2026-08-06,7,247069,current,"[[-0.8642662869816674, -0.503034576532191], [-0.5030345765321916, 0.8642662869816683]]","[-0.8642662869816674, -0.5030345765321916]",6.324492840523662e-16,8.724986551132534e-16,1.6962154764041227e-15,2.2219556703769423e-16,1.6673812867398572e-15,1.0586622788666062e-15,True
u2-prior-reconciliation-v1-2026-08-06,7,247069,historical,"[[-0.9550766243461497, -0.29635897426526836], [-0.2951772924082656, 0.9512684160007281]]","[-0.9550766243461497, -0.2951772924082656]",0.30174824870066264,0.420290015431231,1.6962154764041227e-15,3.3227071379703947e-16,0.007958766765990935,0.22997997719577182,False
