version,replicate,seed,task,draw,budget,calibration_index_hash,one_class,objective_abs,weight_max_abs,intercept_abs,score_max_abs,score_scale,score_scaled_max_abs,fit_equivalent
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,0,4,557a8eb0982f1719251a194d4bd63081bd8042e794e1f8e54eb654f0a0870c06,False,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,1.3322676295501878e-15,1.033132589825579,1.2895417709890568e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,0,8,cd0073e8da580284e79530fabc1c2cf64f62cf62ad49ca3be55f9756e52e3d06,False,4.440892098500626e-16,1.1102230246251565e-16,4.440892098500626e-16,1.7763568394002505e-15,1.033310121179546,1.7190936225152818e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,0,16,52fad704f240fc7e590955d16b4228e88a623b13029823abe3079d8dec1f3f49,False,1.7763568394002505e-15,1.1102230246251565e-16,2.220446049250313e-16,1.3322676295501878e-15,1.0682805722970847,1.2471139737058602e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,0,32,dda254eaf28c656f40298381fa792fedc74144ea61fd6a295f0c1b656ddd815b,False,3.552713678800501e-15,1.3877787807814457e-16,5.551115123125783e-17,7.216449660063518e-16,1.0,7.216449660063518e-16,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,0,64,489f7be05d24b6cd7beb61b74fada44a115f517dce263bedabbbb11fb5b2cab7,False,1.4210854715202004e-14,1.942890293094024e-16,0.0,1.3322676295501878e-15,1.0,1.3322676295501878e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,1,4,f402569edc27d222c78606dbebfcd436e53f7a71655bdff7ab572f42cc445d79,False,6.661338147750939e-16,8.326672684688674e-17,2.7755575615628914e-16,1.7763568394002505e-15,1.0229044931012032,1.7365813244350494e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,1,8,270c438a1587c103e9cd812ad61f83ac207f19f9a4b88affbfe33135d0bba8c6,False,8.881784197001252e-16,1.249000902703301e-16,0.0,1.2212453270876722e-15,1.0623131567917117,1.1496095283013825e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,1,16,d5d5bb6a70367965118c557b825ad2df9d61e45fb64296e8e9675c961d8d79c9,False,0.0,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-15,1.0,1.1102230246251565e-15,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,1,32,4b3184cd997ac49374cdb3ed1e71fdebc0e5a726435d66ec83d187d60e335b12,False,0.0,1.94591576185843e-09,5.2443446252326e-09,3.327450581736002e-08,1.0,3.327450581736002e-08,True
u2-prior-reconciliation-v1-2026-08-06,0,240006,selective_target_signal,1,64,f88fb3807908abc39eddc0bcf883d0da1cf19d884d84f69fe36deaaa544ec7f3,False,0.0,3.0531133177191805e-16,0.0,1.7763568394002505e-15,1.0571000333445317,1.680405622332714e-15,True
