variant,pool,family,bench_csv_date,cells,macro_published,macro_today,drift_pp,max_cell_drift_pp,cells_differing,reproduces,macro_eigen,macro_complete,frac_size3,size_mean,replay_note,chosen_names_missing_from_pool
decorr_s4,c46,simple_stats,2026-07-23,25,0.628357,0.603064,-2.5293,12.0626,25,False,0.602096,0.600778,0.0,4.0,,0
a4.recon_s4,h16,a4_antigravity,2026-07-21,25,0.657376,0.679541,2.2165,43.6,25,False,0.664604,0.648853,0.0,4.0,,0
a4.recon_adapt,h16,a4_antigravity,2026-07-21,25,0.662911,0.684543,2.1631,43.6,18,False,0.666941,0.667304,0.0,5.44,,0
kurtosis_s4,c46,simple_stats,2026-07-23,25,0.680405,0.699286,1.8881,43.2746,16,False,0.693438,0.694044,0.0,4.0,,0
random_s4,c46,simple_stats,2026-07-23,25,0.697614,0.71387,1.6256,38.9484,19,False,0.710214,0.702415,0.0,4.0,,0
a3.cae_k4,h16,a3_concrete_ae,2026-07-21,25,0.68427,0.700492,1.6222,14.9522,25,False,0.689291,0.67908,0.0,4.0,,0
kurtosis_s4,h16,simple_stats,2026-07-21,25,0.679577,0.693154,1.3577,13.2,23,False,0.684203,0.674406,0.0,4.0,,0
decorr_s4,h16,simple_stats,2026-07-21,25,0.618038,0.630981,1.2943,12.8625,25,False,0.612008,0.609,0.0,4.0,,0
a3.cae,c46,a3_concrete_ae,2026-07-22,25,0.703168,0.715883,1.2715,33.2296,5,False,0.70505,0.709887,0.0,5.36,,0
random_s4,h16,simple_stats,2026-07-21,25,0.663666,0.675033,1.1368,17.1486,25,False,0.666988,0.659451,0.0,4.0,,0
a3.cae_k4,c46,a3_concrete_ae,2026-07-22,25,0.717244,0.727895,1.0651,33.2296,25,False,0.713022,0.716061,0.0,4.0,,0
a4.recon_adapt,c46,a4_antigravity,2026-07-23,25,0.710202,0.719712,0.951,33.2296,12,False,0.702263,0.711622,0.0,4.8,,0
a5.mrmr_a0.3_s4,h16,a5_mrmr,2026-07-21,25,0.731913,0.741056,0.9143,7.6124,21,False,0.728015,0.723984,0.0,4.0,,0
lapscore_s4,h16,classical_fs,2026-07-21,25,0.674321,0.665358,-0.8963,24.2565,19,False,0.675934,0.678355,0.0,4.0,,0
spec_s4,h16,classical_fs,2026-07-21,25,0.674321,0.665358,-0.8963,24.2565,19,False,0.675934,0.678355,0.0,4.0,,0
mad_s4,c46,simple_stats,2026-07-23,25,0.650254,0.64176,-0.8494,18.146,18,False,0.661419,0.649061,0.0,4.0,,0
a3.cae_k3,h16,a3_concrete_ae,2026-07-21,25,0.693168,0.701222,0.8054,5.329,22,False,0.717203,0.713587,1.0,3.0,,0
mcfs_s4,c46,classical_fs,2026-07-23,25,0.718053,0.724177,0.6124,5.1768,17,False,0.718883,0.710911,0.0,4.0,,0
ref.consensus_4,c46,reference_macros,2026-07-22,25,0.7242,0.730247,0.6047,10.7954,23,False,0.72782,0.713317,0.0,4.0,,0
ref.consensus_4,h16,reference_macros,2026-07-21,25,0.7242,0.730247,0.6047,10.7954,24,False,0.72782,0.713317,0.0,4.0,,0
a1.upcrres_greedy,c46,a1_residual,2026-07-22,25,0.722463,0.716821,-0.5642,4.1179,8,False,0.721612,0.715524,0.6,3.68,,0
a5.mrmr_a0.5_s4,h16,a5_mrmr,2026-07-21,25,0.729695,0.735294,0.5599,7.6124,21,False,0.726448,0.713984,0.0,4.0,,0
a5.mrmr_a0.7_s4,h16,a5_mrmr,2026-07-21,25,0.728377,0.733931,0.5553,7.6124,21,False,0.725763,0.709095,0.0,4.0,,0
a3.cae,h16,a3_concrete_ae,2026-07-21,25,0.68356,0.68886,0.53,8.4768,20,False,0.689092,0.687566,0.0,5.48,,0
a1.good5+K_ah,h16,a1_residual,2026-07-21,25,0.744549,0.739266,-0.5284,6.0658,10,False,0.739266,0.739266,0.0,5.0,K-rule variant: stored K re-applied,0
a4.recon_s4,c46,a4_antigravity,2026-07-23,25,0.711585,0.716591,0.5006,33.2296,22,False,0.711694,0.713243,0.0,4.0,,0
a4.anchor_adapt,h16,a4_antigravity,2026-07-21,25,0.739073,0.734863,-0.421,3.0914,20,False,0.737713,0.741438,0.8,3.48,,0
a4.intrinsic_k_ah,h16,a4_antigravity,2026-07-21,25,0.737855,0.74157,0.3715,4.7606,6,False,0.732862,0.737009,0.0,4.12,K-rule variant: stored K re-applied,0
mcfs_adapt,h16,classical_fs,2026-07-21,25,0.6633,0.66678,0.348,2.9452,19,False,0.657401,0.648888,0.12,5.32,,0
