variant,pool,cells,size_mean,frac_size3,frac_size4,spread_pp,median_spread_pp,max_spread_pp,frac_unstable,macro_spread_pp,macro_mean
mcfs_adapt,c46,25,4.36,0.48,0.12,0.0007,0.0,0.0179,0.0,0.0007,0.719305
mcfs_s4,h16,25,4.0,0.0,1.0,0.0005,0.0,0.0084,0.0,0.0004,0.654152
mcfs_adapt,h16,25,5.32,0.12,0.28,0.0001,0.0,0.0016,0.0,0.0001,0.666781
a1.good5+K_ah,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739266
a1.good5+K_ah,h16,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739266
a1.good5+K_kn,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746729
a1.good5+K_kn,h16,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746729
a1.minres+K_ah,c46,25,3.12,0.88,0.12,0.0,0.0,0.0001,0.0,0.0,0.694101
a1.minres+K_ah,h16,25,3.0,1.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.680418
a1.minres_exh_adapt,h16,19,3.16,0.895,0.053,0.0,0.0,0.0001,0.0,0.0,0.6718
a1.minres_exh_s4,h16,19,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.657943
a1.minres_exh_s5,h16,19,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.657775
a1.minres_exh_s6,h16,19,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.660381
a1.relres_exh_adapt,h16,19,3.05,0.947,0.053,0.0,0.0,0.0002,0.0,0.0,0.672801
a1.relres_exh_s4,h16,19,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.661909
a1.relres_exh_s5,h16,19,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.666183
a1.relres_exh_s6,h16,19,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664416
a1.relres_greedy,c46,25,3.12,0.88,0.12,0.0,0.0,0.0001,0.0,0.0,0.694101
a1.relres_greedy,h16,25,3.0,1.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.680418
a1.router@good5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.749401
a1.router@good5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.749572
a1.router@loco5,c46,24,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.758352
a1.router@minres,c46,25,3.12,0.88,0.12,0.0,0.0,0.0001,0.0,0.0,0.685079
a1.router@minres,h16,25,3.0,1.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.679718
a1.upcrres_greedy,c46,25,3.68,0.6,0.16,0.0,0.0,0.0001,0.0,0.0,0.716821
a1.upcrres_greedy,h16,25,3.08,0.92,0.08,0.0,0.0,0.0001,0.0,0.0,0.654275
a2.dufs,c46,25,18.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750186
a2.dufs,h16,25,10.76,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.682791
a2.dufs_pf,c46,25,16.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750739
a2.select,c46,25,20.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748148
a2.select,h16,25,12.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.678598
a3.cae,c46,25,5.36,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.715883
a3.cae,h16,25,5.48,0.0,0.2,0.0,0.0,0.0001,0.0,0.0,0.68886
a3.cae_k3,c46,25,3.0,1.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.73685
a3.cae_k3,h16,25,3.0,1.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.701222
a3.cae_k4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.727895
a3.cae_k4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.700492
a3.cae_k5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71316
a3.cae_k5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.690171
a3.cae_k6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690953
a3.cae_k6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.681694
a3.cae_k7,c46,25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718904
a3.cae_k7,h16,25,7.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.688508
a3.cae_k8,c46,25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718691
a3.cae_k8,h16,25,8.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.697696
