cell,m,auroc_hand_anchor,auroc_rho_anchor,auroc_rho_majority,polarity_agreement_with_hand,polarity_agreement_with_empirical,raw_polarity_agreement,global_rule_matches_anchor,rho_lean
ars_gsm8k_r1distill8b,30,0.6822074983839691,0.7384857789269554,0.2615142210730446,0.6,0.9333333333333333,0.4,False,3.755494380794296
epr_triviaqa_mistral24b,28,0.7425653686454944,0.7457496352822355,0.2542503647177646,0.5,0.9285714285714286,0.5,False,8.555942016317253
inside_coqa_llama7b,27,0.5386910612706436,0.5354980962521094,0.4645019037478906,0.6296296296296297,0.6296296296296297,0.37037037037037035,False,7.493955610570468
internalstates_gsm8k_qwen25_7b,29,0.6734115742614326,0.708176755121312,0.291823244878688,0.5517241379310345,1.0,0.4482758620689655,False,8.294117806144053
lapeigvals_gsm8k_llama3b,30,0.7128750430548961,0.699160313160369,0.30083968683963097,0.5,0.9666666666666667,0.5,False,9.414128699403813
lapeigvals_gsm8k_llama8b,29,0.8072503803346947,0.8108335335094884,0.18916646649051166,0.5172413793103448,0.9655172413793104,0.4827586206896552,False,9.50496201843476
lapeigvals_gsm8k_mistral24b,30,0.8512851618773221,0.8486086890590644,0.1513913109409356,0.5333333333333333,0.9666666666666667,0.5333333333333333,False,9.570176422119895
lapeigvals_gsm8k_nemo,29,0.7852975827747308,0.7972699573430835,0.20273004265691652,0.5172413793103448,0.9655172413793104,0.4827586206896552,False,7.911936668630843
lapeigvals_gsm8k_phi35,29,0.7972303064285015,0.8088448633398303,0.19115513666016964,0.5517241379310345,0.9655172413793104,0.4482758620689655,False,7.348470522704953
losnet_hotpotqa_mistral7b,29,0.5714260176263429,0.5695668496040329,0.4304331503959671,0.5517241379310345,0.7931034482758621,0.4482758620689655,False,7.767312891588652
math500_dsmath7b,30,0.7454335427044979,0.7865136091256949,0.2134863908743051,0.6,0.9666666666666667,0.4,False,7.793263600764676
math500_qwenmath7b,28,0.9219700811359025,0.9155045638945232,0.08449543610547668,0.6785714285714286,0.5357142857142857,0.6785714285714286,False,0.29899164727113053
math500_r1distill8b,28,0.8237883068898065,0.8385677026733319,0.16143229732666808,0.6071428571428572,0.9642857142857143,0.39285714285714285,False,9.647294737591219
math500_r1distill8b_mn4096,29,0.807061790668348,0.8357853439820653,0.16421465601793472,0.5862068965517242,1.0,0.41379310344827586,False,10.96372444678453
noise_gsm8k_mistral7b,29,0.7662310490230791,0.7830679315212743,0.2169320684787257,0.5517241379310345,1.0,0.4482758620689655,False,8.54994185744727
noise_gsm8k_phi3mini,29,0.6728928164959497,0.6830577313606034,0.31694226863939656,0.6206896551724138,0.9310344827586207,0.3793103448275862,False,5.681145384011779
sciq_llama8b,30,0.7378375299077135,0.738976871368349,0.2610231286316509,0.5666666666666667,0.9666666666666667,0.43333333333333335,False,9.762229215101224
se_nq_open_llama8b,27,0.7446449193179608,0.7468965488308481,0.2531034511691519,0.5555555555555556,0.962962962962963,0.4444444444444444,False,7.702684548879129
se_squad_v2_llama8b,27,0.763442914362887,0.8102507127768863,0.18974928722311357,0.5555555555555556,0.962962962962963,0.4444444444444444,False,7.602519652357352
seiclr_triviaqa_opt30b,28,0.5722229586618688,0.5751284549635978,0.4248715450364021,0.5714285714285714,0.7142857142857143,0.42857142857142855,False,6.96959865258602
semenergy_triviaqa_qwen3_8b,27,0.7921998116380424,0.8102602404150281,0.18973975958497194,0.5555555555555556,0.8888888888888888,0.4444444444444444,False,3.9388997560810757
spilled_triviaqa_llama8b,28,0.8826666666666667,0.9299999999999999,0.07,0.5,0.9642857142857143,0.5,False,9.019284004752727
trace_gsm8k_llama8b_k10,29,0.8074141551383399,0.8113494318181818,0.1886505681818182,0.5172413793103448,0.9655172413793104,0.4827586206896552,False,9.476478113194664
trace_math500_qwenmath15b_k10,30,0.6709145559185989,0.6860695600152698,0.31393043998473025,0.5666666666666667,1.0,0.5666666666666667,False,10.01227773332528
truthfulqa_llama8b,29,0.6418854345239734,0.6633585817234888,0.3366414182765112,0.5517241379310345,1.0,0.4482758620689655,False,7.138694678537646
