feature,n_cells,agreement
epr_spilled,25,0.2
hl_ratio,25,0.24
sw_var_peak_spilled,25,0.24
cusum_max_spilled,25,0.24
trace_length,20,0.25
dominant_freq,23,0.2608695652173913
spectral_centroid,25,0.28
min_energy,25,0.28
hurst_exponent,25,0.32
high_band_power,25,0.36
stft_spectral_entropy,20,0.4
epr_energy,25,0.4
cusum_shift_idx,25,0.52
rpdi,25,0.64
pe_mean,25,0.64
cusum_max_energy,25,0.68
sw_var_peak_energy,25,0.72
logprob_margin,24,0.75
low_band_power,25,0.76
sw_var_peak,25,0.76
cusum_max,25,0.76
varentropy,25,0.76
epr,25,0.8
stft_max_high_power,20,0.8
mean_top1_logprob,25,0.8
mean_logprob_entropy,25,0.8
renyi_entropy_2,25,0.8
topk_tail_mass,25,0.8
min_spilled,11,0.8181818181818182
spectral_entropy,25,0.84
