cell,n_roots_in_0_qmax,root,all_roots,root_in_deployed_box,var_y_deployed,var_y_oracle,auroc_deployed,auroc_at_root,delta_pp,note
ars_gsm8k_r1distill8b,2,0.3123307349932263,0.3123|0.7803,False,0.25,0.198016,0.7384857789269554,0.7430712669683257,0.4585488041370267,
epr_triviaqa_mistral24b,2,0.39092297434467393,0.3909|0.8068,False,0.25,0.18485586335477813,0.7457496352822355,0.7433228593872743,-0.24267758949612084,
internalstates_gsm8k_qwen25_7b,2,0.3627173144901648,0.3627|0.7965,False,0.25000000000000006,0.20756399999999997,0.708176755121312,0.7102194985642982,0.20427434429862723,
lapeigvals_gsm8k_llama3b,2,0.4663384449432514,0.4663|0.8620,False,0.25,0.24697875167910996,0.699160313160369,0.6945406391673881,-0.46196739929809105,
lapeigvals_gsm8k_llama8b,2,0.48704129066495166,0.4870|0.8743,False,0.25,0.199824,0.8108335335094884,0.8164584834654497,0.56249499559613,
lapeigvals_gsm8k_mistral24b,2,0.5045863409465445,0.5046|0.9020,False,0.25,0.07580926345630236,0.8486086890590644,0.8431875047387976,-0.5421184320266836,
lapeigvals_gsm8k_nemo,2,0.3640480185981464,0.3640|0.7966,False,0.25,0.14148495109385714,0.7972699573430835,0.7967783871622995,-0.04915701807839401,
lapeigvals_gsm8k_phi35,2,0.38537289063787245,0.3854|0.8413,False,0.25,0.12916601763115737,0.8088448633398303,0.8100463692272092,0.12015058873788842,
losnet_hotpotqa_mistral7b,2,0.2967561024152706,0.2968|0.7118,False,0.25,0.22375599999999998,0.5695668496040329,0.5694595899104382,-0.010725969359470788,
math500_dsmath7b,2,0.27656171400580076,0.2766|0.6980,False,0.25,0.1539,0.7865136091256949,0.7866580030322721,0.01443939065771671,
math500_qwenmath7b,1,0.12905149405927546,0.1291,True,0.25,0.17528888888888888,0.9155045638945232,0.9155045638945232,0.0,
math500_r1distill8b,2,0.473053867773457,0.4731|0.8753,False,0.24999999999999997,0.20448888888888891,0.8385677026733319,0.8372093023255814,-0.1358400347750477,
math500_r1distill8b_mn4096,2,0.4898095952066445,0.4898|0.8550,False,0.24999999999999994,0.2379,0.8357853439820653,0.8232217084676101,-1.2563635514455163,
noise_gsm8k_mistral7b,2,0.3402745564503527,0.3403|0.7523,False,0.25,0.2499987067189114,0.7830679315212743,0.7835369638891061,0.04690323678318009,
noise_gsm8k_phi3mini,2,0.26992036386926394,0.2699|0.7161,False,0.25,0.20605588928594212,0.6830577313606034,0.6830744683225101,0.0016736961906627101,
sciq_llama8b,2,0.42876749329984876,0.4288|0.8408,False,0.25000000000000006,0.22388021630445873,0.738976871368349,0.7414834225817478,0.2506551213398822,
se_nq_open_llama8b,2,0.3064869213783894,0.3065|0.7281,False,0.25,0.24978168714965152,0.7468965488308481,0.7451995340453172,-0.16970147855308593,
se_squad_v2_llama8b,2,0.2862944956564065,0.2863|0.6967,False,0.25000000000000006,0.20141380012226692,0.8102507127768863,0.8108140085186938,0.0563295741807468,
seiclr_triviaqa_opt30b,2,0.27758806138942477,0.2776|0.8105,False,0.25000000000000006,0.24876096,0.811871846772098,0.8137327497047768,0.18609029326788207,
semenergy_triviaqa_qwen3_8b,2,0.21456317140119685,0.2146|0.6409,True,0.25,0.24946064379348445,0.8102602404150281,0.8025630443149352,-0.7697196100092896,
spilled_triviaqa_llama8b,2,0.453780367699349,0.4538|0.8480,False,0.24999999999999997,0.02288818359375,0.9299999999999999,0.9293333333333333,-0.06666666666665932,
trace_gsm8k_llama8b_k10,2,0.48522801904864427,0.4852|0.8725,False,0.25,0.194304,0.8113494318181818,0.8140923501317523,0.27429183135705415,
trace_math500_qwenmath15b_k10,2,0.4845284794716744,0.4845|0.8743,False,0.25,0.1452398888888889,0.6860695600152698,0.686124641302244,0.0055081286974290045,
truthfulqa_llama8b,2,0.2665606858749321,0.2666|0.7074,False,0.25,0.09475388271214191,0.6633585817234888,0.6636422457204052,0.028366399691637234,
