cell,auroc_deployed,auroc_loco_top10,delta_loco_top10_pp,auroc_loco_own_size,delta_loco_own_size_pp
ars_gsm8k_r1distill8b,0.7384857789269554,0.7066499676793795,-3.183581124757595,0.7260827407886232,-1.2403038138332212
epr_triviaqa_mistral24b,0.7457496352822355,0.7425934238581529,-0.3156211424082622,0.748246549208843,0.2496913926607558
internalstates_gsm8k_qwen25_7b,0.708176755121312,0.7327860322599296,2.4609277138617602,0.7436549690697809,3.547821394846895
lapeigvals_gsm8k_llama3b,0.699160313160369,0.7186211262229917,1.9460813062622706,0.6964047998063693,-0.27555133539997057
lapeigvals_gsm8k_llama8b,0.8108335335094884,0.8091720714228521,-0.16614620866363117,0.8244254944351029,1.3591960925614543
lapeigvals_gsm8k_mistral24b,0.8486086890590644,0.8655394647054364,1.693077564637202,0.8605656228675411,1.1956933808476733
lapeigvals_gsm8k_nemo,0.7972699573430835,0.8184399756246192,2.117001828153575,0.8271866747917935,2.991671744871005
lapeigvals_gsm8k_phi35,0.8088448633398303,0.8076834076486975,-0.11614556911327956,0.8119910287560408,0.3146165416210489
losnet_hotpotqa_mistral7b,0.5695668496040329,0.5744114124313985,0.48445628273655617,0.5790235792559753,0.945672965194233
math500_dsmath7b,0.7865136091256949,0.7953216374269005,0.8808028301205639,0.800447621110389,1.3934011984694128
math500_qwenmath7b,0.9155045638945232,0.6529538539553751,-26.25507099391481,0.7044878296146044,-21.101673427991873
math500_r1distill8b,0.8385677026733319,0.814062160399913,-2.4505542273418945,0.8303629645729189,-0.8204738100413
math500_r1distill8b_mn4096,0.8357853439820653,0.8566624632198403,2.087711923777502,0.8029517537714259,-3.2833590210639363
noise_gsm8k_mistral7b,0.7830679315212743,0.7919795465100772,0.8911614988802885,0.7998680271670905,1.6800095645816193
noise_gsm8k_phi3mini,0.6830577313606034,0.6738551918055834,-0.920253955502004,0.6788930173394925,-0.416471402111096
sciq_llama8b,0.738976871368349,0.7581178079070297,1.9140936538680653,0.7488891420758802,0.9912270707531201
se_nq_open_llama8b,0.7468965488308481,0.7465531519764618,-0.03433968543863353,0.745748163520447,-0.11483853104010677
se_squad_v2_llama8b,0.8102507127768863,0.829375642076345,1.9124929299458637,0.8239129431048215,1.3662230327935232
seiclr_triviaqa_opt30b,0.811871846772098,0.7996300544908654,-1.2241792281232566,0.7981407532757552,-1.3731093496342828
semenergy_triviaqa_qwen3_8b,0.8102602404150281,0.4179652918571275,-39.22949485579006,0.7112739951604443,-9.898624525458377
spilled_triviaqa_llama8b,0.9299999999999999,0.9346666666666668,0.4666666666666819,0.9486666666666667,1.866666666666672
trace_gsm8k_llama8b_k10,0.8113494318181818,0.8096658843873519,-0.16835474308298792,0.8096658843873519,-0.16835474308298792
trace_math500_qwenmath15b_k10,0.6860695600152698,0.6945627884595524,0.8493228444282686,0.6840889287378199,-0.19806312774498513
truthfulqa_llama8b,0.6633585817234888,0.6593468917236772,-0.40116899998116073,0.6777136826759912,1.4355100952502364
