cell,n_splits,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_keepset,delta_top10_share,delta_rank1_share,delta_nnz,cohesion_keepset,cohesion_good,auroc_omega_sparse,overlap_omega_sparse,cohesion_omega_sparse,J_omega_sparse,steps_omega_sparse,auroc_resid_dep,overlap_resid_dep,cohesion_resid_dep,J_resid_dep,steps_resid_dep,auroc_m_eff,overlap_m_eff,cohesion_m_eff,J_m_eff,steps_m_eff,auroc_cohesion_set,overlap_cohesion_set,cohesion_cohesion_set,J_cohesion_set,steps_cohesion_set,auroc_loading_sum,overlap_loading_sum,cohesion_loading_sum,J_loading_sum,steps_loading_sum,auroc_omega_sparse_free,omega_sparse_free_size,cohesion_omega_sparse_free,auroc_m_eff_free,m_eff_free_size,cohesion_m_eff_free,auroc_oracle_auroc,overlap_oracle_auroc,cohesion_oracle_auroc,auroc_random_prune,cohesion_random_prune,n_random_prune_failed,frac_inside_omega_sparse,cond_null_omega_sparse,frac_inside_resid_dep,cond_null_resid_dep,frac_inside_m_eff,cond_null_m_eff,frac_inside_cohesion_set,cond_null_cohesion_set,frac_inside_loading_sum,cond_null_loading_sum,frac_inside_oracle_auroc,cond_null_oracle_auroc,frac_inside_greedy,mean_pairwise_jaccard,n_to_drop
ars_gsm8k_r1distill8b,5,30.0,11.4,16.6,0.7273944340148285,0.781263424668899,0.7195539329225638,0.7355408635428793,0.4138279014204855,11.8,0.47626480945575017,0.23790526670896553,0.6776254189849695,0.3478787878787879,0.7065972873583399,0.9604214287049565,5.2,0.6762519140765809,0.3327272727272727,0.5609022580487432,-0.31841900331913636,5.2,0.6777107592854261,0.3527272727272727,0.5799457561469508,10.871690354600066,5.2,0.747649361192084,0.4693939393939394,0.39055353761615896,-0.39055353761615896,5.2,0.6779311472258951,0.3312121212121212,0.7228227100605199,9.603419121253406,5.2,0.6752396765150227,5.0,0.9952631685399119,0.714613912892656,15.8,0.4877049211798655,0.7455220313686476,0.5424242424242424,0.4224491196305339,0.7113472343793796,0.4860517376882333,0.0,1.0,0.3794840909090909,1.0,0.3794840909090909,1.0,0.3794840909090909,1.0,0.3794840909090909,1.0,0.3794840909090909,1.0,0.3794840909090909,0.5424242424242424,0.6250998511292629,5.2
epr_triviaqa_mistral24b,5,28.0,14.8,21.8,0.7248066116360725,0.720436425974734,0.7239398647605662,0.5486514736313299,0.3205454562898555,21.6,0.5367256482845046,0.4835697817549579,0.7241125932221217,0.6610275689223057,0.7253180829829017,0.9660957210371863,7.0,0.7223679848829372,0.5862155388471177,0.5743322821115844,-0.5950013011382055,7.0,0.7233024614375667,0.6147869674185463,0.573622557431099,13.822635476203217,7.0,0.7066278173961033,0.6682205513784462,0.44194908281532796,-0.44194908281532796,7.0,0.7242756627735588,0.650501253132832,0.7286263933091797,12.308576829290814,7.0,0.7203935768971158,8.2,0.8713933484101937,0.7241194117906171,21.4,0.5443947624095913,0.7243131348310184,0.9184210526315789,0.5100306466904997,0.7213547778248319,0.5333760927317921,0.0,1.0,0.642084724310777,1.0,0.642084724310777,1.0,0.642084724310777,1.0,0.642084724310777,1.0,0.642084724310777,1.0,0.642084724310777,0.9517543859649121,0.5860121416849106,7.0
internalstates_gsm8k_qwen25_7b,5,29.0,7.8,21.0,0.7097291380399277,0.7513393891858036,0.7091719881249624,0.5469703268283298,0.3152772210069649,20.0,0.4878886329982022,0.306725378839764,0.6537105114328572,0.1488095238095238,0.8348366313703238,0.973342217921091,13.2,0.6949190613865763,0.24682539682539678,0.5026217665547309,-0.012998368436825752,13.2,0.7006327740111711,0.3134920634920635,0.483974334988482,7.774622604221982,13.2,0.7289822685159549,0.5170634920634921,0.2815791309610379,-0.2815791309610379,13.2,0.6468729128859769,0.12023809523809523,0.8988095593566238,7.365624963054489,13.2,0.6577812004345944,9.8,0.7903085720514095,0.7125856527483746,20.0,0.4825825732134702,0.752343577413857,0.7178571428571427,0.3896781930609402,0.6957126814225052,0.48397084746970204,0.0,1.0,0.28780952380952385,1.0,0.28780952380952385,1.0,0.28780952380952385,1.0,0.28780952380952385,1.0,0.28780952380952385,1.0,0.28780952380952385,0.7686507936507937,0.2862201132201132,13.2
lapeigvals_gsm8k_llama3b,5,30.0,14.6,22.0,0.6905998613693145,0.7052819150948595,0.6908412648780864,0.6699408966608907,0.30761765510899186,22.0,0.6061985430440174,0.6025251808161359,0.690898049368359,0.6034841628959275,0.7697749506091942,0.9772562748055131,7.4,0.6897729879794784,0.612971342383107,0.5935770979941352,-0.32716365148570525,7.4,0.6888519123596021,0.6220399698340875,0.5958646290774782,14.373825749425677,7.4,0.6729353994968752,0.6010180995475113,0.5115356412977012,-0.5115356412977012,7.4,0.6965693000700643,0.660920060331825,0.7860724333583613,12.846631919052049,7.4,0.7003816923130701,8.0,0.9394661341896218,0.692550123219027,20.8,0.6195161764801561,0.7045527562646365,0.9264705882352942,0.6331395684980274,0.6891890577864528,0.6036526342358297,0.0,1.0,0.6453083314479636,1.0,0.6453083314479636,1.0,0.6453083314479636,1.0,0.6453083314479636,1.0,0.6453083314479636,1.0,0.6453083314479636,0.9715686274509805,0.5547727813981683,7.4
lapeigvals_gsm8k_llama8b,5,29.0,14.2,22.4,0.81419494988486,0.8148361892707385,0.816294544158637,0.7263131302703603,0.2696034005961207,22.8,0.6089730311065104,0.48903944473478733,0.8131918598418169,0.5079621848739496,0.7858067882564619,0.9796181091945529,8.2,0.8096747308983174,0.5354621848739496,0.6460957956182246,-0.32038698904508356,8.2,0.8113697599581343,0.5154621848739496,0.6679536943676813,14.107098298345454,8.2,0.8143875794852627,0.6240546218487395,0.49941277140592477,-0.49941277140592477,8.2,0.8094625655684593,0.5465126050420167,0.8084146445774755,12.652135246065344,8.2,0.7862711837797937,3.0,0.9985437123516236,0.8149082311405786,20.4,0.6304355165431434,0.8176922582987274,0.790063025210084,0.5971658548420881,0.8127087916977566,0.6116165848520035,0.0,1.0,0.5602291071428571,1.0,0.5602291071428571,1.0,0.5602291071428571,1.0,0.5602291071428571,1.0,0.5602291071428571,1.0,0.5602291071428571,0.8821638655462186,0.5344562990291891,8.2
lapeigvals_gsm8k_mistral24b,5,30.0,13.4,21.0,0.8536765081421077,0.8627113653565882,0.8536765081421077,0.6863176559539981,0.28936527524076305,20.0,0.6547713446799358,0.5282803815275494,0.8538400423156156,0.5373626373626375,0.8037611556220927,0.9797629024117842,7.6,0.8541513364789663,0.49340659340659343,0.703544058878381,-0.1383519774451682,7.6,0.8584296765474626,0.5527472527472528,0.7051273515852967,13.257547987378885,7.6,0.8286824435354412,0.3857142857142857,0.560565277708218,-0.560565277708218,7.6,0.8544964105847385,0.5516483516483517,0.8181537019982535,12.082770605078252,7.6,0.8494593454780288,3.0,0.9984249746106416,0.8522880335924559,20.0,0.6712825192819616,0.8581022270719189,0.7747252747252747,0.6881266743026282,0.8468716232367323,0.6519790500318579,0.0,1.0,0.5230032967032967,1.0,0.5230032967032967,1.0,0.5230032967032967,1.0,0.5230032967032967,1.0,0.5230032967032967,1.0,0.5230032967032967,0.8197802197802198,0.5564366553639,7.6
lapeigvals_gsm8k_nemo,5,29.0,11.6,20.6,0.799855688030962,0.8222193392008712,0.8005590214679239,0.733602413288932,0.31475091366903607,19.2,0.49592991229843725,0.2891542031402362,0.7882400701849918,0.4100699300699301,0.7705092722725213,0.9746486220169388,9.0,0.7851810595615365,0.3928671328671329,0.6109271947341882,-0.25349520598897995,9.0,0.7809018106104054,0.3765034965034965,0.5758822685784224,11.351678735812916,9.0,0.7813644216900166,0.4118881118881118,0.3770214701436374,-0.3770214701436374,9.0,0.7849269272794283,0.4100699300699301,0.781825447662222,10.193171763970325,9.0,0.7718445927940423,7.6,0.9181618694409417,0.7955595004987666,19.2,0.5150680347139819,0.8079220659723653,0.6588811188811189,0.4663140835871812,0.7903049497377113,0.4979557844378827,0.0,1.0,0.3805844055944056,1.0,0.3805844055944056,1.0,0.3805844055944056,1.0,0.3805844055944056,1.0,0.3805844055944056,1.0,0.3805844055944056,0.6742657342657343,0.48728899171004436,9.0
lapeigvals_gsm8k_phi35,5,29.0,14.8,18.8,0.7978689222192112,0.7995482070722026,0.7980704315332298,0.6264882625848738,0.3581020172989767,15.6,0.5020834740127844,0.35321379964707,0.7851530751941176,0.5979792266556972,0.6259339108744719,0.9491079331320336,4.0,0.7897454934447397,0.6154257507198684,0.5508825773596309,-0.6725372206397932,4.0,0.7930772480676186,0.6218428630193337,0.5349329674762932,13.793135093617437,4.0,0.792155240705028,0.5819467297408474,0.4371749532311842,-0.4371749532311842,4.0,0.7879094568423667,0.5972439325380502,0.6382187502969854,11.502082970152772,4.0,0.76537970403151,7.4,0.8955911251008655,0.7900322130000461,17.2,0.5226219467510946,0.793779165056898,0.7457373508844097,0.4983384754101875,0.7952585902836037,0.5019993077731363,0.0,1.0,0.6063012546277252,1.0,0.6063012546277252,1.0,0.6063012546277252,1.0,0.6063012546277252,1.0,0.6063012546277252,1.0,0.6063012546277252,0.7582373508844097,0.7167782200599537,4.0
losnet_hotpotqa_mistral7b,5,29.0,9.6,22.0,0.5621505358986759,0.5650261205418546,0.5614061245401859,0.6160304213070413,0.3042653854521966,22.0,0.4374255353687576,0.2660751905661166,0.5528519454291878,0.3145098039215687,0.7758787226060239,0.9649817099845162,12.4,0.558580314017404,0.34784313725490196,0.508539539787096,-0.4268081720693864,12.4,0.5592817730521965,0.42784313725490203,0.4342478150468579,8.847392122663205,12.4,0.5494502397099358,0.467843137254902,0.25188768280145585,-0.25188768280145585,12.4,0.55460752213981,0.28941176470588237,0.7901224741989178,7.696616693619286,12.4,0.5501270546650721,4.8,0.9615858187579563,0.5618971458645406,21.8,0.43919664300426875,0.5691551455544561,0.7482352941176471,0.4039065251481372,0.5540809636180339,0.4254855391310917,0.0,1.0,0.3939358823529412,1.0,0.3939358823529412,1.0,0.3939358823529412,1.0,0.3939358823529412,1.0,0.3939358823529412,1.0,0.3939358823529412,0.8149019607843139,0.41439372272034813,12.4
math500_dsmath7b,5,30.0,14.0,23.4,0.786844680909791,0.7900295111712322,0.786010007255383,0.45174490301252235,0.33884356277895833,25.0,0.4250369500771084,0.3055194378582928,0.7817247588027659,0.4235380116959064,0.5294808266462494,0.9314105911768149,9.4,0.7783074919845797,0.5515350877192982,0.4735440582472309,-0.6591551615230637,9.4,0.7796144677484058,0.4985380116959064,0.45838884692298654,13.282359501764182,9.4,0.7691660645608595,0.49798245614035086,0.318894781427978,-0.318894781427978,9.4,0.7876974803446858,0.42023391812865496,0.6365340429899451,10.710329938641815,9.4,0.777704322121926,19.2,0.44836636786610173,0.782933891416968,22.4,0.41979717924333065,0.793367721254255,0.6757017543859649,0.43103352162401637,0.7760645556848178,0.42325170155540653,0.0,1.0,0.45838876461988304,1.0,0.45838876461988304,1.0,0.45838876461988304,1.0,0.45838876461988304,1.0,0.45838876461988304,1.0,0.45838876461988304,0.7629239766081872,0.488344122928118,9.4
math500_qwenmath7b,5,28.0,10.6,11.8,0.9141235689674378,0.9059235251480962,0.9054436769826454,0.6975188559150812,0.35744235400040586,5.0,0.6400685457935857,0.6136156259203617,0.908594573730627,0.6205555555555555,0.7025718771131022,0.906324842082638,1.6,0.9078731221552854,0.6816666666666668,0.653634061015621,-0.14758876548402025,1.6,0.9078731221552854,0.6816666666666668,0.653634061015621,10.001676912898693,1.6,0.9021001044832232,0.6872222222222223,0.6061360884407927,-0.6061360884407927,1.6,0.9086424091766924,0.6427777777777778,0.7035967578735935,8.394223248329043,1.6,0.9152869159085304,4.2,0.9510209415274954,0.9054436769826454,11.8,0.6400685457935857,0.908604104512101,0.7094444444444444,0.6646761340287932,0.9041033926372057,0.6169405671574777,0.0,1.0,0.6784172222222222,1.0,0.6784172222222222,1.0,0.6784172222222222,1.0,0.6784172222222222,1.0,0.6784172222222222,1.0,0.6784172222222222,0.7705555555555554,0.8507692307692307,1.2
math500_r1distill8b,5,28.0,8.2,22.6,0.8300648193404498,0.8330342889510778,0.8303826180520637,0.6252338634295767,0.3512296625679503,23.2,0.6072496752068273,0.4612248633341937,0.8220212852062119,0.30999999999999994,0.8832211485959747,0.9834476651295917,14.4,0.8258573876807777,0.3375,0.6575955612377993,-0.12586786199762018,14.4,0.8278567794018933,0.4374999999999999,0.5316321645339549,8.17941044434024,14.4,0.7842909700149717,0.5375,0.3647583494494769,-0.3647583494494769,14.4,0.8160445909107166,0.25,0.9389397835480263,7.71323833880967,14.4,0.8228539414636854,11.4,0.8264971116846054,0.8305385370783664,21.0,0.6255115003459277,0.8304161525908164,0.8075000000000001,0.5125514297466036,0.8141783998224449,0.6158975959105274,0.0,1.0,0.34079625,1.0,0.34079625,1.0,0.34079625,1.0,0.34079625,1.0,0.34079625,1.0,0.34079625,0.9075,0.32378156930788504,14.4
math500_r1distill8b_mn4096,5,29.0,10.0,24.8,0.8458690365637693,0.8507853017415528,0.8445080341699072,0.7360188123259164,0.3147704471170785,28.4,0.6548552515756094,0.4891752641230629,0.8381466313043605,0.17691919191919192,0.940820134975651,0.9918559086393293,14.8,0.8354695520374766,0.3476623376623377,0.7160842783882627,-0.04703106584075648,14.8,0.859724861604235,0.4194155844155844,0.6440045614295427,10.208101010928994,14.8,0.7668758665724412,0.4342496392496392,0.43615909741094133,-0.43615909741094133,14.8,0.8385813181140886,0.23215728715728715,0.9479518720198336,9.65421788306485,14.8,0.8520401092281883,16.8,0.8139678176928047,0.8502281663973594,22.4,0.677143258975481,0.8503459510493228,0.6622005772005772,0.6135668801533358,0.8264254360188575,0.6643558251656484,0.0,1.0,0.34598793650793647,1.0,0.34598793650793647,1.0,0.34598793650793647,1.0,0.34598793650793647,1.0,0.34598793650793647,1.0,0.34598793650793647,0.8454689754689755,0.326813235783824,14.8
noise_gsm8k_mistral7b,5,29.0,8.6,23.0,0.7947210996974018,0.8296048201577768,0.7940469440660827,0.6207234563507547,0.3414885850078636,24.0,0.47371101557570006,0.21815663687001816,0.7567488745510753,0.1611111111111111,0.923099701666632,0.991126729397636,14.4,0.7828341000494052,0.1833333333333333,0.4851399727526108,-0.025461798570060236,14.4,0.785822409459733,0.20833333333333331,0.4818899480733734,8.550325799851969,14.4,0.7941746281972182,0.48888888888888893,0.2789992320188828,-0.2789992320188828,14.4,0.7558527895408083,0.20833333333333331,0.9335837050685416,8.306149200190228,14.4,0.7678407138804817,11.0,0.8042653179077922,0.7947597930425826,22.0,0.47185067232569305,0.8205672100078255,0.6305555555555555,0.44004392587126384,0.7786890037161946,0.47957249035887506,0.0,1.0,0.2353416666666667,1.0,0.2353416666666667,1.0,0.2353416666666667,1.0,0.2353416666666667,1.0,0.2353416666666667,1.0,0.2353416666666667,0.6305555555555555,0.3327063296180943,14.4
noise_gsm8k_phi3mini,5,29.0,12.4,19.0,0.6874046920247986,0.6903845039671935,0.6861777672411341,0.7703017004336173,0.3784246870746141,16.0,0.41813988668558866,0.26305597706288963,0.6760809042782052,0.4090842490842491,0.649681691506428,0.954087809515482,6.6,0.6778046343394418,0.41652014652014646,0.49469585392860227,-0.7758079285294391,6.6,0.6778046343394418,0.41652014652014646,0.49469585392860227,11.024842437314211,6.6,0.6742951446102132,0.4887545787545788,0.3208123546758649,-0.3208123546758649,6.6,0.6736479475152256,0.377032967032967,0.6666568791268126,9.990178336849599,6.6,0.6739091380283253,8.0,0.9263723814638398,0.6853211688935088,18.4,0.42556731050486657,0.6883455498971636,0.6696336996336997,0.4010314337970689,0.6799936351542893,0.42006222320480147,0.0,1.0,0.4580463553113553,1.0,0.4580463553113553,1.0,0.4580463553113553,1.0,0.4580463553113553,1.0,0.4580463553113553,1.0,0.4580463553113553,0.6863003663003663,0.5807528474277699,6.6
sciq_llama8b,5,30.0,18.0,23.4,0.724564387728049,0.725441189973296,0.7212381015130856,0.5974692749396517,0.22783665308244833,24.8,0.5744126359716929,0.5131813990292511,0.715148617583289,0.6923147790424679,0.6871058566025271,0.9654746369966423,5.4,0.7281924819770482,0.745185592439597,0.573783945286246,-1.0778344867454497,5.4,0.726904810699608,0.7528410948319415,0.571589222486325,16.25147754866224,5.4,0.724202258502004,0.7565492288032334,0.5055503457688038,-0.5055503457688038,5.4,0.7145123778215752,0.6798147790424679,0.6976657812827374,14.656943270915189,5.4,0.7081190759899343,7.6,0.8995924951155592,0.7202119821101005,23.2,0.5752326757739612,0.7233283965170381,0.907916901938641,0.555525206709331,0.7226283751508233,0.5748956877592881,0.0,1.0,0.7251017934534953,1.0,0.7251017934534953,1.0,0.7251017934534953,1.0,0.7251017934534953,1.0,0.7251017934534953,1.0,0.7251017934534953,0.9442805383022774,0.6739320294652774,5.4
se_nq_open_llama8b,5,27.0,10.4,22.0,0.7472260811919545,0.7573625023707173,0.7472260811919544,0.6285750286692874,0.2888548871443858,22.0,0.4392758537686948,0.4929432921559937,0.7503841664598814,0.5808857808857809,0.7542711634679854,0.9672747003559762,11.6,0.7475014723352291,0.48642191142191143,0.4734163737441427,-0.11326542927313973,11.6,0.7476700729434707,0.46142191142191147,0.47158903959521903,10.219351677503054,11.6,0.6958486322280573,0.4001165501165501,0.29170448119447884,-0.29170448119447884,11.6,0.750617597155568,0.5324009324009324,0.7634510022476559,8.983295511548064,11.6,0.740702652063339,3.0,0.9954663447358663,0.7508244225465739,20.6,0.4513678865920589,0.7573517153308311,0.9833333333333332,0.49817403539293964,0.7399024449240519,0.4425658827854225,0.0,1.0,0.46379819347319345,1.0,0.46379819347319345,1.0,0.46379819347319345,1.0,0.46379819347319345,1.0,0.46379819347319345,1.0,0.46379819347319345,0.9833333333333332,0.4053134316663728,11.6
se_squad_v2_llama8b,5,27.0,11.0,23.0,0.8144431799593832,0.8431195420725184,0.8144431799593832,0.6155559093486868,0.27427443369271,24.0,0.41946069324378304,0.3622839385739197,0.7774069003890159,0.35656565656565653,0.7037020111858412,0.955929957931161,12.0,0.8023992848283727,0.5111111111111111,0.4855948979476191,-0.18011789451477125,12.0,0.8023992848283727,0.5111111111111111,0.4855948979476191,10.653119420445694,12.0,0.7946560675243904,0.5237373737373737,0.27923337699283335,-0.27923337699283335,12.0,0.7807173254801494,0.39545454545454545,0.7203945574759861,9.278860733584406,12.0,0.7756940820571251,11.4,0.7114089737355939,0.8144431799593832,23.0,0.41946069324378304,0.8418937587949721,0.9651515151515152,0.37718329388169247,0.8027375209711156,0.4159915819225068,0.0,1.0,0.46331843434343434,1.0,0.46331843434343434,1.0,0.46331843434343434,1.0,0.46331843434343434,1.0,0.46331843434343434,1.0,0.46331843434343434,0.9651515151515152,0.42574658090447565,12.0
seiclr_triviaqa_opt30b,5,19.0,10.6,13.0,0.8142784015533622,0.840137784218725,0.8142784015533622,0.8267377354992463,0.2947910062115864,6.0,0.4289756886664667,0.327570885714833,0.7840881642743323,0.5434343434343434,0.5404604268583636,0.9179533415624428,2.4,0.7795751585930715,0.6161616161616162,0.48358540357119384,-0.3788203389685991,2.4,0.7795751585930715,0.6161616161616162,0.48358540357119384,9.89821678306043,2.4,0.8187866536443748,0.6424242424242423,0.3557402358808438,-0.3557402358808438,2.4,0.8014777138673527,0.597979797979798,0.5451303126623515,7.7384411575425585,2.4,0.8085349724556854,3.0,0.9860222739637614,0.8006603440539715,12.0,0.4631783896944596,0.8290615381400187,0.7373737373737373,0.41510141327990435,0.8105159158416393,0.4301700833820775,0.0,1.0,0.6157434343434344,1.0,0.6157434343434344,1.0,0.6157434343434344,1.0,0.6157434343434344,1.0,0.6157434343434344,1.0,0.6157434343434344,0.7555555555555555,0.7565501165501166,2.4
semenergy_triviaqa_qwen3_8b,5,27.0,14.6,20.4,0.8162497041952941,0.8285149810881777,0.8188220674911288,0.6057792016267701,0.33971912314351044,18.8,0.37091574300756613,0.39798576891444937,0.7974498262377719,0.6951007326007327,0.4952169780105802,0.9087994594338081,5.8,0.8130820752623524,0.6982509157509157,0.406363034261667,-0.6818966352325262,5.8,0.8130820752623524,0.6982509157509157,0.406363034261667,13.359428618869362,5.8,0.7728831085191,0.6128113553113552,0.3070777182286178,-0.3070777182286178,5.8,0.805362593684328,0.7506043956043956,0.5117102582301094,10.237535499579751,5.8,0.7878097404535891,4.0,0.9519007159453403,0.8202919944681953,20.0,0.37348276408472525,0.8275748952105209,0.9187820512820514,0.40125306822692586,0.8099345456044509,0.3729901827965446,0.0,1.0,0.6662194093406593,1.0,0.6662194093406593,1.0,0.6662194093406593,1.0,0.6662194093406593,1.0,0.6662194093406593,1.0,0.6662194093406593,0.9321153846153847,0.660797926188019,5.8
spilled_triviaqa_llama8b,5,28.0,19.2,22.0,0.9086390168970814,0.9097315924219149,0.9111756784434204,0.7450845401505904,0.2786988445251367,22.0,0.5915276447007382,0.5108884504777107,0.9059724526369687,0.7696251498310994,0.6568203064847653,0.9519572287154761,3.0,0.9034358934971838,0.7862918164977662,0.6006512640717812,-2.491303799374336,3.0,0.9034358934971838,0.7862918164977662,0.6006512640717812,15.124551689707639,3.0,0.9139982590885815,0.8512040971995205,0.5550790767398348,-0.5550790767398348,3.0,0.904489656938044,0.7696251498310994,0.6701979142399442,15.123412960551416,3.0,0.8868380440348183,13.8,0.7979922194502396,0.9106423451100871,21.8,0.5923364808247966,0.9075982590885816,0.91072790672333,0.5749549430880371,0.9096590701484895,0.5794527029772374,0.0,1.0,0.8113506456358287,1.0,0.8113506456358287,1.0,0.8113506456358287,1.0,0.8113506456358287,1.0,0.8113506456358287,1.0,0.8113506456358287,0.9202517162471395,0.8271828171828173,2.8
trace_gsm8k_llama8b_k10,5,29.0,10.4,21.2,0.8133078340737949,0.8220799255712665,0.8120688928160977,0.7640930097538097,0.2779918255210214,20.4,0.6369933080949733,0.3070771561429069,0.8012977164599286,0.342983682983683,0.8813086581402283,0.9886028169243783,10.8,0.7990963414007219,0.23662004662004663,0.7227109441284761,-0.04816980861598798,10.8,0.8044501457464257,0.36275058275058275,0.6527582335758287,10.5883225583872,10.8,0.7973916043814209,0.33995337995337993,0.48969637290444845,-0.48969637290444845,10.8,0.801189073274587,0.3248018648018648,0.8883320313416034,9.728056224585938,10.8,0.7863334608046041,3.0,0.9985644818513515,0.814912271120422,19.2,0.6585307729544121,0.8160594619065021,0.5104195804195804,0.6207764206628918,0.8065062078787568,0.63395370316483,0.0,1.0,0.30075483682983684,1.0,0.30075483682983684,1.0,0.30075483682983684,1.0,0.30075483682983684,1.0,0.30075483682983684,1.0,0.30075483682983684,0.6173193473193472,0.4309878659352343,10.8
trace_math500_qwenmath15b_k10,5,30.0,5.6,23.4,0.677006922687465,0.7110281298368034,0.6771037784945813,0.4483128222720592,0.28926089274608885,24.8,0.6159244394292057,0.23499490108856738,0.6639135933114559,0.02222222222222222,0.9555715737427614,0.993834232255488,17.8,0.6594944463648469,0.02222222222222222,0.68700738899954,-0.0006153674902786399,17.8,0.6641922524751058,0.02222222222222222,0.7302411488744257,5.6472866516754525,17.8,0.6732238253545393,0.37047619047619046,0.29149996702400677,-0.29149996702400677,17.8,0.6671258629140351,0.04444444444444444,0.9729502436553364,5.486111620881563,17.8,0.6767149158103188,18.8,0.7049664162813806,0.6767906694168353,22.6,0.6360458752874367,0.7045734981227891,0.6401587301587301,0.5240407527623108,0.6695656221905709,0.6014233070153556,0.0,1.0,0.14382436507936508,1.0,0.14382436507936508,1.0,0.14382436507936508,1.0,0.14382436507936508,1.0,0.14382436507936508,1.0,0.14382436507936508,0.6401587301587301,0.22947206388382857,17.8
truthfulqa_llama8b,5,29.0,6.2,22.0,0.6535679980534514,0.6860034890529304,0.6535679980534514,0.5406440519121329,0.3407862066178904,22.0,0.3991356507437399,0.36123455563822093,0.6487273334709274,0.23968253968253966,0.6227099799686713,0.9045843100636477,15.8,0.6451241190475143,0.30357142857142855,0.43504617850215777,-0.014191552679302522,15.8,0.6505016873814944,0.3226190476190476,0.4358297446816171,6.188656490722505,15.8,0.622472582711109,0.1638888888888889,0.17348060240860386,-0.17348060240860386,15.8,0.5965067978308402,0.12301587301587302,0.8833835717288068,5.698164582380717,15.8,0.6640510043315573,17.0,0.4367180608278172,0.6610637278673401,20.0,0.3855331351132696,0.6855777725873489,0.9714285714285713,0.3772000723671648,0.638161513818047,0.39917535916144,0.0,1.0,0.2744779761904762,1.0,0.2744779761904762,1.0,0.2744779761904762,1.0,0.2744779761904762,1.0,0.2744779761904762,1.0,0.2744779761904762,0.9714285714285713,0.21931968031968033,15.8
