cell,n_splits,m,k,n_x,n_y,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,cca_lambda,cca_n_open,cca_n_open_x,cca_leverage_n_distinct,cca_init_n_distinct,path_heldout_lam0,path_nopen_lam0,path_heldout_lam1,path_nopen_lam1,path_heldout_lam2,path_nopen_lam2,path_heldout_lam3,path_nopen_lam3,path_heldout_lam4,path_nopen_lam4,path_heldout_lam5,path_nopen_lam5,auroc_cca_leverage_prune,overlap_cca_leverage_prune,frac_inside_cca_leverage,frac_x_cca_leverage,cond_null_cca_leverage_prune,auroc_cca_gates_prune,overlap_cca_gates_prune,frac_inside_cca_gates,frac_x_cca_gates,cond_null_cca_gates_prune,auroc_rho_prune,overlap_rho_prune,frac_inside_rho,frac_x_rho,cond_null_rho_prune,auroc_truecorr_prune,overlap_truecorr_prune,frac_inside_truecorr,frac_x_truecorr,cond_null_truecorr_prune,auroc_cca_leverage_rr_prune,auroc_cca_gates_rr_prune,auroc_cca_init_r50_prune,auroc_chan_rr_random_prune,auroc_cca_gates_lam0_prune,auroc_cca_gates_lam1_prune,auroc_cca_gates_lam2_prune,auroc_cca_gates_lam3_prune,auroc_cca_gates_lam4_prune,auroc_cca_gates_lam5_prune,n_distinct_null_compositions,frac_x_greedy,auroc_random_prune,n_random_prune_failed
ars_gsm8k_r1distill8b,5,30.0,11.4,16.0,14.0,16.6,0.7273944340148285,0.781263424668899,0.04,26.4,13.6,29.0,15.0,3.0238129083398233,30.0,3.0240398327774205,30.0,3.0061625327836285,29.6,2.955825000477533,17.8,2.5314723933896697,7.2,0.0,0.0,0.6729344468325393,0.3493939393939395,1.0,0.24454545454545454,0.37794090909090905,0.6889531801423623,0.4375757575757576,1.0,0.24454545454545454,0.37794090909090905,0.695126896610108,0.27636363636363637,1.0,0.2812121212121212,0.37794090909090905,0.6731218672271717,0.3478787878787879,1.0,0.24787878787878787,0.37794090909090905,0.6765013674634134,0.6983725029207131,0.6661878101725894,0.718888958668943,0.6860997536902292,0.6849449471983441,0.6613476572447046,0.7297742919214698,0.7091932641698123,0.7218995220016907,1.0,0.5821212121212122,0.7113472343793796,0.0
epr_triviaqa_mistral24b,5,28.0,14.8,14.0,14.0,21.8,0.7248066116360725,0.720436425974734,0.02,27.2,13.2,28.0,15.0,2.328650616024106,28.0,2.328657568314833,28.0,2.315273036987223,27.6,2.190634378086743,20.2,1.1337138793069035,4.8,0.0,0.0,0.7234067666865066,0.6028822055137845,1.0,0.33012531328320804,0.6433414661654134,0.7241932471978527,0.650501253132832,1.0,0.32441102756892237,0.6433414661654134,0.7255901569639903,0.5995488721804512,1.0,0.2791729323308271,0.6433414661654134,0.7250800453303551,0.6643609022556392,1.0,0.2282205513784461,0.6433414661654134,0.7204553509481981,0.7260442968607389,0.7217405941860008,0.7236610220666113,0.7263092851735828,0.7270099095741642,0.7221516764539097,0.7256034018945607,0.7194588751046369,0.7213951127006618,1.0,0.38651629072681704,0.7213547778248319,0.0
internalstates_gsm8k_qwen25_7b,5,29.0,7.8,16.0,13.0,21.0,0.7097291380399277,0.7513393891858036,0.05800000000000001,24.2,12.8,29.0,15.0,2.735229627903418,29.0,2.7354932468381903,29.0,2.7472987747807855,28.6,2.64729815432321,20.6,1.8893458256448348,7.2,0.0,0.0,0.6756141917897768,0.12023809523809523,1.0,0.4496031746031746,0.28530694444444443,0.6696188999075072,0.30238095238095236,1.0,0.32579365079365075,0.28530694444444443,0.6491339254019899,0.073015873015873,1.0,0.33571428571428574,0.28530694444444443,0.7167976487491896,0.5817460317460318,1.0,0.3543650793650793,0.28530694444444443,0.6883674561172402,0.6803816772428452,0.6678272450322418,0.7054759743739083,0.6406973637382,0.6340599909332231,0.6349742739771324,0.6830326608282439,0.7227168054690212,0.6526075563267967,1.0,0.5079365079365079,0.6957126814225052,0.0
lapeigvals_gsm8k_llama3b,5,30.0,14.6,16.0,14.0,22.0,0.6905998613693145,0.7052819150948595,0.014000000000000002,28.0,14.2,30.0,16.0,2.7370769197825062,30.0,2.742443338870733,29.6,2.7283516416663764,26.8,2.534478752810677,14.4,1.9174406101120645,5.4,0.0,0.0,0.7016189305252366,0.74723604826546,1.0,0.3858446455505279,0.6452797605580693,0.7051066863267668,0.7180693815987934,1.0,0.31129336349924586,0.6452797605580693,0.7018801020739017,0.6893514328808447,1.0,0.31129336349924586,0.6452797605580693,0.7035540597514667,0.7302828054298642,1.0,0.32434012066365003,0.6452797605580693,0.6999316388635457,0.7035733770761511,0.7002823927204904,0.6954879111220353,0.701684885818145,0.6936608216422618,0.7027027298895733,0.6990292274619929,0.7021805740127405,0.7036933194464073,1.0,0.5118099547511312,0.6891890577864528,0.0
lapeigvals_gsm8k_llama8b,5,29.0,14.2,16.0,13.0,22.4,0.81419494988486,0.8148361892707385,0.019999999999999997,28.8,15.8,29.0,15.0,3.2509656318797804,29.0,3.251190380187503,29.0,3.247891839200169,28.8,2.987772962829511,22.6,2.4547715352647033,10.2,0.0,0.0,0.813142263298591,0.5990126050420168,1.0,0.4227310924369748,0.5613650210084035,0.8065621826096232,0.5282983193277311,1.0,0.30165966386554627,0.5613650210084035,0.8120172255438742,0.5447268907563025,1.0,0.29415966386554626,0.5613650210084035,0.810893981957317,0.5197268907563025,1.0,0.3055882352941176,0.5613650210084035,0.8092127164220496,0.8085968404480877,0.8135031600091789,0.8153049072660273,0.808528947746308,0.807582490360549,0.8071463390065542,0.8110913549401996,0.8200293283065779,0.8055465330293515,1.0,0.5409033613445378,0.8127087916977566,0.0
lapeigvals_gsm8k_mistral24b,5,30.0,13.4,16.0,14.0,21.0,0.8536765081421077,0.8627113653565882,0.026000000000000002,28.2,14.4,30.0,16.0,2.8762868716506644,30.0,2.8795809502261838,29.8,2.8812267861068266,26.8,2.6312118313086783,15.2,1.8410417108936197,6.2,0.0,0.0,0.846831430616356,0.5351648351648353,1.0,0.37362637362637363,0.5243791208791209,0.8549066286441723,0.5494505494505495,1.0,0.4164835164835165,0.5243791208791209,0.850183605716313,0.5813186813186814,1.0,0.35824175824175825,0.5243791208791209,0.8602370397788366,0.6406593406593406,1.0,0.2538461538461539,0.5243791208791209,0.8518609137708903,0.856507690275192,0.8473811096127835,0.8536326191921502,0.8536942125859046,0.8522760407232566,0.8544447284618487,0.8584985516716795,0.8557986560477164,0.8584245366195606,1.0,0.476923076923077,0.8468716232367323,0.0
lapeigvals_gsm8k_nemo,5,29.0,11.6,16.0,13.0,20.6,0.799855688030962,0.8222193392008712,0.012,28.2,15.4,29.0,15.0,2.6828318345362754,29.0,2.6932057267803717,28.8,2.6535408595440306,26.4,2.1913628897657333,13.0,1.7382800096425783,5.0,0.0,0.0,0.7829992016392764,0.37006993006993005,1.0,0.26139860139860144,0.37862804195804195,0.7863437273880877,0.3257342657342657,1.0,0.3257342657342657,0.37862804195804195,0.7812594919890195,0.37006993006993005,1.0,0.22503496503496506,0.37862804195804195,0.7849269272794283,0.4100699300699301,1.0,0.20503496503496504,0.37862804195804195,0.7883536138074578,0.789956163370209,0.7816652413507588,0.7884156884889484,0.7970741948699731,0.779143498093864,0.7783653251432752,0.7951750858294319,0.7935318403920926,0.79198428781658,1.0,0.587132867132867,0.7903049497377113,0.0
lapeigvals_gsm8k_phi35,5,29.0,14.8,16.0,13.0,18.8,0.7978689222192112,0.7995482070722026,0.01,28.2,15.2,29.0,15.0,2.4221892158132574,29.0,2.422175020334089,28.4,2.4108579994811357,25.4,2.1846810542551824,12.2,1.7569190331421507,4.0,0.0,0.0,0.7866350878404691,0.5854792266556973,1.0,0.4072038255861785,0.6046947398190045,0.79810766693183,0.6308103661044837,1.0,0.42538564376799676,0.6046947398190045,0.7869391238277188,0.590826820238585,1.0,0.42538564376799676,0.6046947398190045,0.7867583707903191,0.6368932538050185,1.0,0.3918192102015632,0.6046947398190045,0.7924898465875961,0.7964874879979152,0.793367791705,0.7932827311291766,0.7925240047547562,0.7961941681587978,0.797568942942936,0.7870736987195572,0.7847676590791599,0.7830319681567075,1.0,0.534229740847388,0.7952585902836037,0.0
losnet_hotpotqa_mistral7b,5,29.0,9.6,16.0,13.0,22.0,0.5621505358986759,0.5650261205418546,0.04,25.8,13.6,28.0,14.0,2.96891168991048,29.0,2.968973330783393,29.0,2.982844753257726,28.2,2.8933606110137626,17.6,2.2744192530204215,6.4,0.0,0.0,0.5674814079670314,0.3129411764705882,1.0,0.5172549019607844,0.39359627450980395,0.5580068740907892,0.4211764705882353,1.0,0.21725490196078434,0.39359627450980395,0.5611534304151451,0.28941176470588237,1.0,0.2207843137254902,0.39359627450980395,0.5677626542497585,0.5580392156862746,1.0,0.2772549019607843,0.39359627450980395,0.569730943196628,0.5530860386769703,0.567350229577585,0.5606609507326752,0.557104251088085,0.5581434496636439,0.5567823385525329,0.5694532285160325,0.5725725115136034,0.5707740102289852,1.0,0.5341176470588235,0.5540809636180339,0.0
math500_dsmath7b,5,30.0,14.0,16.0,14.0,23.4,0.786844680909791,0.7900295111712322,0.06400000000000002,28.4,14.6,30.0,16.0,3.036950319549831,30.0,3.037070921275943,30.0,3.037155217625859,30.0,2.988946545911113,28.2,2.4895953639539004,11.4,0.0,0.0,0.7987163852250785,0.40551169590643277,1.0,0.3964035087719298,0.45832192982456144,0.7959885467538774,0.4382602339181287,1.0,0.4183771929824561,0.45832192982456144,0.7952357684365906,0.39801169590643276,1.0,0.4289035087719298,0.45832192982456144,0.7845716734114861,0.5519005847953217,1.0,0.4533479532163742,0.45832192982456144,0.7967161055060888,0.7946519361791264,0.7948646577789372,0.7655755473620518,0.7792206307163265,0.7826462736551287,0.7848459646208832,0.7971676078076241,0.792701641203508,0.7985426139522496,1.0,0.5183479532163743,0.7760645556848178,0.0
