cell,n_splits,m,k,n_x,n_y,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,cca_lambda,cca_n_open,cca_n_open_x,cca_leverage_n_distinct,cca_init_n_distinct,path_heldout_lam0,path_nopen_lam0,path_heldout_lam1,path_nopen_lam1,path_heldout_lam2,path_nopen_lam2,path_heldout_lam3,path_nopen_lam3,path_heldout_lam4,path_nopen_lam4,path_heldout_lam5,path_nopen_lam5,auroc_cca_leverage_prune,overlap_cca_leverage_prune,frac_inside_cca_leverage,frac_x_cca_leverage,cond_null_cca_leverage_prune,auroc_cca_gates_prune,overlap_cca_gates_prune,frac_inside_cca_gates,frac_x_cca_gates,cond_null_cca_gates_prune,auroc_rho_prune,overlap_rho_prune,frac_inside_rho,frac_x_rho,cond_null_rho_prune,auroc_truecorr_prune,overlap_truecorr_prune,frac_inside_truecorr,frac_x_truecorr,cond_null_truecorr_prune,auroc_cca_leverage_rr_prune,auroc_cca_gates_rr_prune,auroc_cca_init_r50_prune,auroc_cca_gates_lam0_prune,auroc_cca_gates_lam1_prune,auroc_cca_gates_lam2_prune,auroc_cca_gates_lam3_prune,auroc_cca_gates_lam4_prune,auroc_cca_gates_lam5_prune,n_distinct_null_compositions,frac_x_greedy,auroc_random_prune,n_random_prune_failed
ars_gsm8k_r1distill8b,5,30.0,11.4,16.0,14.0,16.6,0.7273944340148285,0.781263424668899,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7130707753333179,0.3812121212121212,1.0,0.3278787878787879,0.37794090909090905,0.7130707753333179,0.3812121212121212,1.0,0.3278787878787879,0.37794090909090905,0.695126896610108,0.27636363636363637,1.0,0.2812121212121212,0.37794090909090905,0.6731218672271717,0.3478787878787879,1.0,0.24787878787878787,0.37794090909090905,0.718888958668943,0.718888958668943,0.7130707753333179,0.7130707753333179,0.7130707753333179,0.7130707753333179,0.7130707753333179,0.7130707753333179,0.7130707753333179,1.0,0.5821212121212122,0.7113472343793796,0.0
epr_triviaqa_mistral24b,5,28.0,14.8,14.0,14.0,21.8,0.7248066116360725,0.720436425974734,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7239472794376571,0.6363157894736842,1.0,0.3892230576441103,0.6433414661654134,0.7239472794376571,0.6363157894736842,1.0,0.3892230576441103,0.6433414661654134,0.7255901569639903,0.5995488721804512,1.0,0.2791729323308271,0.6433414661654134,0.7250800453303551,0.6643609022556392,1.0,0.2282205513784461,0.6433414661654134,0.7236610220666113,0.7236610220666113,0.7239472794376571,0.7239472794376571,0.7239472794376571,0.7239472794376571,0.7239472794376571,0.7239472794376571,0.7239472794376571,1.0,0.38651629072681704,0.7213547778248319,0.0
internalstates_gsm8k_qwen25_7b,5,29.0,7.8,16.0,13.0,21.0,0.7097291380399277,0.7513393891858036,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6913730337185322,0.27380952380952384,1.0,0.5349206349206349,0.28530694444444443,0.6913730337185322,0.27380952380952384,1.0,0.5349206349206349,0.28530694444444443,0.6491339254019899,0.073015873015873,1.0,0.33571428571428574,0.28530694444444443,0.7167976487491896,0.5817460317460318,1.0,0.3543650793650793,0.28530694444444443,0.7054759743739083,0.7054759743739083,0.6913730337185322,0.6913730337185322,0.6913730337185322,0.6913730337185322,0.6913730337185322,0.6913730337185322,0.6913730337185322,1.0,0.5079365079365079,0.6957126814225052,0.0
lapeigvals_gsm8k_llama3b,5,30.0,14.6,16.0,14.0,22.0,0.6905998613693145,0.7052819150948595,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.693412918611614,0.6421040723981901,1.0,0.49930995475113127,0.6452797605580693,0.693412918611614,0.6421040723981901,1.0,0.49930995475113127,0.6452797605580693,0.7018801020739017,0.6893514328808447,1.0,0.31129336349924586,0.6452797605580693,0.7035540597514667,0.7302828054298642,1.0,0.32434012066365003,0.6452797605580693,0.6954879111220353,0.6954879111220353,0.693412918611614,0.693412918611614,0.693412918611614,0.693412918611614,0.693412918611614,0.693412918611614,0.693412918611614,1.0,0.5118099547511312,0.6891890577864528,0.0
lapeigvals_gsm8k_llama8b,5,29.0,14.2,16.0,13.0,22.4,0.81419494988486,0.8148361892707385,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8140613759946327,0.5965336134453781,1.0,0.428781512605042,0.5613650210084035,0.8140613759946327,0.5965336134453781,1.0,0.428781512605042,0.5613650210084035,0.8120172255438742,0.5447268907563025,1.0,0.29415966386554626,0.5613650210084035,0.810893981957317,0.5197268907563025,1.0,0.3055882352941176,0.5613650210084035,0.8153049072660273,0.8153049072660273,0.8140613759946327,0.8140613759946327,0.8140613759946327,0.8140613759946327,0.8140613759946327,0.8140613759946327,0.8140613759946327,1.0,0.5409033613445378,0.8127087916977566,0.0
lapeigvals_gsm8k_mistral24b,5,30.0,13.4,16.0,14.0,21.0,0.8536765081421077,0.8627113653565882,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.855994995245117,0.5494505494505495,1.0,0.2813186813186813,0.5243791208791209,0.855994995245117,0.5494505494505495,1.0,0.2813186813186813,0.5243791208791209,0.850183605716313,0.5813186813186814,1.0,0.35824175824175825,0.5243791208791209,0.8602370397788366,0.6406593406593406,1.0,0.2538461538461539,0.5243791208791209,0.8536326191921502,0.8536326191921502,0.855994995245117,0.855994995245117,0.855994995245117,0.855994995245117,0.855994995245117,0.855994995245117,0.855994995245117,1.0,0.476923076923077,0.8468716232367323,0.0
lapeigvals_gsm8k_nemo,5,29.0,11.6,16.0,13.0,20.6,0.799855688030962,0.8222193392008712,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7893196027269909,0.29496503496503496,1.0,0.4146853146853148,0.37862804195804195,0.7893196027269909,0.29496503496503496,1.0,0.4146853146853148,0.37862804195804195,0.7812594919890195,0.37006993006993005,1.0,0.22503496503496506,0.37862804195804195,0.7849269272794283,0.4100699300699301,1.0,0.20503496503496504,0.37862804195804195,0.7884156884889484,0.7884156884889484,0.7893196027269909,0.7893196027269909,0.7893196027269909,0.7893196027269909,0.7893196027269909,0.7893196027269909,0.7893196027269909,1.0,0.587132867132867,0.7903049497377113,0.0
lapeigvals_gsm8k_phi35,5,29.0,14.8,16.0,13.0,18.8,0.7978689222192112,0.7995482070722026,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7972018273861494,0.6030131633072809,1.0,0.551486013986014,0.6046947398190045,0.7972018273861494,0.6030131633072809,1.0,0.551486013986014,0.6046947398190045,0.7869391238277188,0.590826820238585,1.0,0.42538564376799676,0.6046947398190045,0.7867583707903191,0.6368932538050185,1.0,0.3918192102015632,0.6046947398190045,0.7932827311291766,0.7932827311291766,0.7972018273861494,0.7972018273861494,0.7972018273861494,0.7972018273861494,0.7972018273861494,0.7972018273861494,0.7972018273861494,1.0,0.534229740847388,0.7952585902836037,0.0
losnet_hotpotqa_mistral7b,5,29.0,9.6,16.0,13.0,22.0,0.5621505358986759,0.5650261205418546,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5592422969499428,0.40627450980392155,1.0,0.36431372549019614,0.39359627450980395,0.5592422969499428,0.40627450980392155,1.0,0.36431372549019614,0.39359627450980395,0.5611534304151451,0.28941176470588237,1.0,0.2207843137254902,0.39359627450980395,0.5677626542497585,0.5580392156862746,1.0,0.2772549019607843,0.39359627450980395,0.5606609507326752,0.5606609507326752,0.5592422969499428,0.5592422969499428,0.5592422969499428,0.5592422969499428,0.5592422969499428,0.5592422969499428,0.5592422969499428,1.0,0.5341176470588235,0.5540809636180339,0.0
math500_dsmath7b,5,30.0,14.0,16.0,14.0,23.4,0.786844680909791,0.7900295111712322,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7661013992247158,0.4037865497076023,1.0,0.536374269005848,0.45832192982456144,0.7661013992247158,0.4037865497076023,1.0,0.536374269005848,0.45832192982456144,0.7952357684365906,0.39801169590643276,1.0,0.4289035087719298,0.45832192982456144,0.7845716734114861,0.5519005847953217,1.0,0.4533479532163742,0.45832192982456144,0.7655755473620518,0.7655755473620518,0.7661013992247158,0.7661013992247158,0.7661013992247158,0.7661013992247158,0.7661013992247158,0.7661013992247158,0.7661013992247158,1.0,0.5183479532163743,0.7760645556848178,0.0
