cell,rep,m,k,n_x,n_y,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,cca_lambda,cca_n_open,cca_n_open_x,cca_leverage_n_distinct,cca_init_n_distinct,path_heldout_lam0,path_nopen_lam0,path_heldout_lam1,path_nopen_lam1,path_heldout_lam2,path_nopen_lam2,path_heldout_lam3,path_nopen_lam3,path_heldout_lam4,path_nopen_lam4,path_heldout_lam5,path_nopen_lam5,auroc_cca_leverage_prune,cca_leverage_prune_cols,overlap_cca_leverage_prune,frac_inside_cca_leverage,frac_x_cca_leverage,cond_null_cca_leverage_prune,auroc_cca_gates_prune,cca_gates_prune_cols,overlap_cca_gates_prune,frac_inside_cca_gates,frac_x_cca_gates,cond_null_cca_gates_prune,auroc_rho_prune,rho_prune_cols,overlap_rho_prune,frac_inside_rho,frac_x_rho,cond_null_rho_prune,auroc_truecorr_prune,truecorr_prune_cols,overlap_truecorr_prune,frac_inside_truecorr,frac_x_truecorr,cond_null_truecorr_prune,auroc_cca_leverage_rr_prune,auroc_cca_gates_rr_prune,auroc_cca_init_r50_prune,auroc_cca_gates_lam0_prune,auroc_cca_gates_lam1_prune,auroc_cca_gates_lam2_prune,auroc_cca_gates_lam3_prune,auroc_cca_gates_lam4_prune,auroc_cca_gates_lam5_prune,n_distinct_null_compositions,frac_x_greedy,auroc_random_prune,n_random_prune_failed
ars_gsm8k_r1distill8b,0,30,12,16,14,14,0.7278401997503121,0.7816791510611737,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6887484394506866,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|topk_tail_mass,0.5,1.0,0.25,0.499,0.6887484394506866,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|topk_tail_mass,0.5,1.0,0.25,0.499,0.6933520599250937,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.4166666666666667,1.0,0.25,0.499,0.6933520599250937,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.4166666666666667,1.0,0.25,0.499,0.6887484394506866,0.6887484394506866,0.6887484394506866,0.6887484394506866,0.6887484394506866,0.6887484394506866,0.6887484394506866,0.6887484394506866,0.6887484394506866,1,0.4166666666666667,0.6854681647940075,0
ars_gsm8k_r1distill8b,1,30,12,16,14,16,0.7064698867024448,0.7506708407871199,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.713103756708408,epr|trace_length|spectral_centroid|sw_var_peak|cusum_max|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|renyi_entropy_2,0.5,1.0,0.4166666666666667,0.43233333333333335,0.713103756708408,epr|trace_length|spectral_centroid|sw_var_peak|cusum_max|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|renyi_entropy_2,0.5,1.0,0.4166666666666667,0.43233333333333335,0.6718843172331544,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.3333333333333333,1.0,0.25,0.43233333333333335,0.6386404293381037,epr|trace_length|sw_var_peak|epr_spilled|sw_var_peak_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.4166666666666667,1.0,0.25,0.43233333333333335,0.713103756708408,0.713103756708408,0.713103756708408,0.713103756708408,0.713103756708408,0.713103756708408,0.713103756708408,0.713103756708408,0.713103756708408,1,0.6666666666666666,0.6895169946332735,0
ars_gsm8k_r1distill8b,2,30,12,16,14,18,0.7226190476190475,0.7947619047619048,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7150793650793651,epr|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|varentropy|renyi_entropy_2,0.3333333333333333,1.0,0.5,0.3339166666666667,0.7150793650793651,epr|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|varentropy|renyi_entropy_2,0.3333333333333333,1.0,0.5,0.3339166666666667,0.701984126984127,epr|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.25,1.0,0.3333333333333333,0.3339166666666667,0.6703174603174603,epr|sw_var_peak|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.3333333333333333,1.0,0.16666666666666666,0.3339166666666667,0.7046031746031746,0.7046031746031746,0.7150793650793651,0.7150793650793651,0.7150793650793651,0.7150793650793651,0.7150793650793651,0.7150793650793651,0.7150793650793651,1,0.5,0.7212000000000001,0
ars_gsm8k_r1distill8b,3,30,11,16,14,18,0.7242844364937387,0.7766100178890876,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7110912343470484,low_band_power|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2,0.2727272727272727,1.0,0.2727272727272727,0.3314545454545454,0.7110912343470484,low_band_power|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2,0.2727272727272727,1.0,0.2727272727272727,0.3314545454545454,0.6959600477042336,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.18181818181818182,1.0,0.2727272727272727,0.3314545454545454,0.6566040548598688,epr|trace_length|sw_var_peak|epr_spilled|sw_var_peak_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.2727272727272727,1.0,0.2727272727272727,0.3314545454545454,0.7332289803220036,0.7332289803220036,0.7110912343470484,0.7110912343470484,0.7110912343470484,0.7110912343470484,0.7110912343470484,0.7110912343470484,0.7110912343470484,1,0.7272727272727273,0.71087656529517,0
ars_gsm8k_r1distill8b,4,30,10,16,14,17,0.7557585995085995,0.802595208845209,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.737331081081081,low_band_power|sw_var_peak|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|varentropy|renyi_entropy_2|topk_tail_mass,0.3,1.0,0.2,0.293,0.737331081081081,low_band_power|sw_var_peak|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|varentropy|renyi_entropy_2|topk_tail_mass,0.3,1.0,0.2,0.293,0.7124539312039312,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.2,1.0,0.3,0.293,0.7066953316953317,epr|trace_length|sw_var_peak|epr_spilled|sw_var_peak_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|topk_tail_mass,0.3,1.0,0.3,0.293,0.7547604422604423,0.7547604422604423,0.737331081081081,0.737331081081081,0.737331081081081,0.737331081081081,0.737331081081081,0.737331081081081,0.737331081081081,1,0.6,0.7496744471744472,0
epr_triviaqa_mistral24b,0,28,12,14,14,21,0.6995480225988701,0.692090395480226,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7036723163841807,epr|spectral_entropy|dominant_freq|cusum_max|epr_spilled|sw_var_peak_spilled|epr_energy|min_energy|cusum_max_energy|mean_logprob_entropy|varentropy|topk_tail_mass,0.75,1.0,0.3333333333333333,0.523875,0.7036723163841807,epr|spectral_entropy|dominant_freq|cusum_max|epr_spilled|sw_var_peak_spilled|epr_energy|min_energy|cusum_max_energy|mean_logprob_entropy|varentropy|topk_tail_mass,0.75,1.0,0.3333333333333333,0.523875,0.7010169491525424,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5,1.0,0.25,0.523875,0.7028813559322034,epr|sw_var_peak|epr_spilled|epr_energy|min_energy|sw_var_peak_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5,1.0,0.16666666666666666,0.523875,0.7036723163841807,0.7036723163841807,0.7036723163841807,0.7036723163841807,0.7036723163841807,0.7036723163841807,0.7036723163841807,0.7036723163841807,0.7036723163841807,1,0.3333333333333333,0.6933039548022599,0
epr_triviaqa_mistral24b,1,28,14,14,14,22,0.7436730123180291,0.7373460246360583,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7398656215005599,trace_length|low_band_power|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|mean_top1_logprob|logprob_margin|renyi_entropy_2,0.5,1.0,0.42857142857142855,0.6346428571428571,0.7398656215005599,trace_length|low_band_power|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|mean_top1_logprob|logprob_margin|renyi_entropy_2,0.5,1.0,0.42857142857142855,0.6346428571428571,0.7442889137737961,epr|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5714285714285714,1.0,0.21428571428571427,0.6346428571428571,0.7411534154535274,epr|sw_var_peak|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6428571428571429,1.0,0.14285714285714285,0.6346428571428571,0.7398656215005599,0.7398656215005599,0.7398656215005599,0.7398656215005599,0.7398656215005599,0.7398656215005599,0.7398656215005599,0.7398656215005599,0.7398656215005599,1,0.35714285714285715,0.7412653975363942,0
epr_triviaqa_mistral24b,2,28,10,14,14,22,0.7317640692640692,0.7299242424242425,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7270021645021645,epr|trace_length|spectral_entropy|low_band_power|high_band_power|epr_spilled|sw_var_peak_spilled|logprob_margin|mean_logprob_entropy|topk_tail_mass,0.3,1.0,0.5,0.46040000000000003,0.7270021645021645,epr|trace_length|spectral_entropy|low_band_power|high_band_power|epr_spilled|sw_var_peak_spilled|logprob_margin|mean_logprob_entropy|topk_tail_mass,0.3,1.0,0.5,0.46040000000000003,0.732034632034632,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|min_energy|mean_top1_logprob|mean_logprob_entropy|renyi_entropy_2|topk_tail_mass,0.4,1.0,0.3,0.46040000000000003,0.7314393939393941,epr|sw_var_peak|epr_spilled|epr_energy|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6,1.0,0.2,0.46040000000000003,0.7270021645021645,0.7270021645021645,0.7270021645021645,0.7270021645021645,0.7270021645021645,0.7270021645021645,0.7270021645021645,0.7270021645021645,0.7270021645021645,1,0.4,0.726017316017316,0
epr_triviaqa_mistral24b,3,28,19,14,14,21,0.7474856321839081,0.7475882594417077,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7461514778325125,epr|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|sw_var_peak|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.8947368421052632,1.0,0.3157894736842105,0.8582105263157893,0.7461514778325125,epr|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|sw_var_peak|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.8947368421052632,1.0,0.3157894736842105,0.8582105263157893,0.7472803776683088,epr|trace_length|spectral_entropy|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.8421052631578947,1.0,0.3157894736842105,0.8582105263157893,0.7472803776683088,epr|trace_length|spectral_entropy|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.8421052631578947,1.0,0.3157894736842105,0.8582105263157893,0.7477422003284072,0.7477422003284072,0.7461514778325125,0.7461514778325125,0.7461514778325125,0.7461514778325125,0.7461514778325125,0.7461514778325125,0.7461514778325125,1,0.42105263157894735,0.7471018062397371,0
epr_triviaqa_mistral24b,4,28,19,14,14,23,0.7015623218154864,0.6952332078914356,nan,-1,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7030448169688677,trace_length|low_band_power|high_band_power|spectral_centroid|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7368421052631579,1.0,0.3684210526315789,0.7395789473684209,0.7030448169688677,trace_length|low_band_power|high_band_power|spectral_centroid|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7368421052631579,1.0,0.3684210526315789,0.7395789473684209,0.7033299121906718,epr|trace_length|spectral_entropy|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6842105263157895,1.0,0.3157894736842105,0.7395789473684209,0.7026456836583418,epr|trace_length|high_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7368421052631579,1.0,0.3157894736842105,0.7395789473684209,0.7000228076177444,0.7000228076177444,0.7030448169688677,0.7030448169688677,0.7030448169688677,0.7030448169688677,0.7030448169688677,0.7030448169688677,0.7030448169688677,1,0.42105263157894735,0.6990854145284525,0
