cell,rep,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_keepset,auroc_random_prune,floor_keep_at_k,k_exceeds_keepset
ars_gsm8k_r1distill8b,0,30,12,14,0.7278401997503121,0.7816791510611737,0.6946785268414482,0.6854681647940075,0.6940262172284644,0
ars_gsm8k_r1distill8b,1,30,12,16,0.7064698867024448,0.7506708407871199,0.7008050089445439,0.6895169946332735,0.6933542039355991,0
ars_gsm8k_r1distill8b,2,30,12,18,0.7226190476190475,0.7947619047619048,0.7188888888888889,0.7212000000000001,0.7135396825396825,0
ars_gsm8k_r1distill8b,3,30,11,18,0.7242844364937387,0.7766100178890876,0.7276386404293381,0.71087656529517,0.7229934406678593,0
ars_gsm8k_r1distill8b,4,30,10,17,0.7557585995085995,0.802595208845209,0.7557585995085995,0.7496744471744472,0.7439987714987716,0
internalstates_gsm8k_qwen25_7b,0,29,9,21,0.6846476190476191,0.7241904761904763,0.6857142857142857,0.6762940952380952,0.6735695238095238,0
internalstates_gsm8k_qwen25_7b,1,29,6,21,0.7001470588235295,0.7214705882352942,0.7001470588235295,0.6859088235294116,0.6590676470588235,0
internalstates_gsm8k_qwen25_7b,2,29,8,21,0.7347954693023591,0.7790924175744895,0.7373926845104971,0.7320337637977058,0.7288334175023446,0
internalstates_gsm8k_qwen25_7b,3,29,9,21,0.7160626535626534,0.7757217444717445,0.7096130221130221,0.6879821867321868,0.7002426289926291,0
internalstates_gsm8k_qwen25_7b,4,29,7,21,0.7129928894634776,0.7562217194570136,0.7129928894634776,0.6963445378151261,0.697579185520362,0
epr_triviaqa_mistral24b,0,28,12,21,0.6995480225988701,0.692090395480226,0.6980225988700565,0.6933039548022599,0.6950079096045197,0
epr_triviaqa_mistral24b,1,28,14,22,0.7436730123180291,0.7373460246360583,0.7427771556550952,0.7412653975363942,0.7388980963045911,0
epr_triviaqa_mistral24b,2,28,10,22,0.7317640692640692,0.7299242424242425,0.7312770562770563,0.726017316017316,0.7277662337662337,0
epr_triviaqa_mistral24b,3,28,19,21,0.7474856321839081,0.7475882594417077,0.7469724958949097,0.7471018062397371,0.7466646141215105,0
epr_triviaqa_mistral24b,4,28,19,23,0.7015623218154864,0.6952332078914356,0.7006500171057133,0.6990854145284525,0.7000091230470977,0
lapeigvals_gsm8k_llama8b,0,29,14,23,0.8158388385939157,0.821629557132371,0.8185302993230568,0.8129385857597261,0.813059293695457,0
lapeigvals_gsm8k_llama8b,1,29,10,22,0.7816791510611735,0.7836298377028714,0.7806647940074906,0.7780898876404494,0.7750842696629213,0
lapeigvals_gsm8k_llama8b,2,29,16,22,0.81065188172043,0.7963709677419355,0.8130880376344086,0.8101310483870968,0.8095833333333333,0
lapeigvals_gsm8k_llama8b,3,29,17,23,0.8416666666666667,0.8485087719298245,0.8391228070175438,0.8413333333333333,0.841582456140351,0
lapeigvals_gsm8k_llama8b,4,29,14,22,0.8211382113821138,0.8240418118466899,0.8300667828106851,0.8210511033681765,0.8249767711962833,0
lapeigvals_gsm8k_nemo,0,29,11,21,0.8166570271833429,0.8317428185849238,0.8176852387378704,0.8112441359809782,0.8021181158023262,0
lapeigvals_gsm8k_nemo,1,29,13,20,0.8002559490868844,0.8219078583287216,0.8002559490868844,0.79155783065855,0.7995621195351412,0
lapeigvals_gsm8k_nemo,2,29,13,20,0.7931074380165288,0.8205950413223141,0.7931074380165288,0.7840714049586777,0.7885547107438016,0
lapeigvals_gsm8k_nemo,3,29,10,21,0.7970265347314527,0.8223469371010355,0.7987003396839463,0.7834391768818,0.7858048212146573,0
lapeigvals_gsm8k_nemo,4,29,11,21,0.7922314911366006,0.8145040406673618,0.7930461418143899,0.7812122002085505,0.780053441084463,0
lapeigvals_gsm8k_llama3b,0,30,17,22,0.6888233918128656,0.7048514619883041,0.6900304093567252,0.6895584561403508,0.6871623859649122,0
lapeigvals_gsm8k_llama3b,1,30,13,22,0.6877170138888888,0.7039741847826086,0.6877170138888888,0.6822863828502415,0.6849584842995169,0
lapeigvals_gsm8k_llama3b,2,30,16,22,0.7002236719478099,0.7125815470643057,0.7002236719478099,0.6998896551724139,0.6991686859273066,0
lapeigvals_gsm8k_llama3b,3,30,15,22,0.6920626938228146,0.7061064081431192,0.6920626938228146,0.6910651058400618,0.692636735302061,0
lapeigvals_gsm8k_llama3b,4,30,12,22,0.6841725353741936,0.6988959734959606,0.6841725353741936,0.6831456889291961,0.6821403122368337,0
lapeigvals_gsm8k_mistral24b,0,30,14,21,0.8310833333333334,0.8349722222222221,0.8310833333333334,0.8252155555555555,0.8265366666666665,0
lapeigvals_gsm8k_mistral24b,1,30,14,21,0.890056261850735,0.893382238662149,0.890056261850735,0.8825973703024463,0.8870846414472663,0
lapeigvals_gsm8k_mistral24b,2,30,13,21,0.8765245901639345,0.8880983606557377,0.8765245901639345,0.8717613114754098,0.8708629508196721,0
lapeigvals_gsm8k_mistral24b,3,30,13,21,0.867137490608565,0.8708940646130728,0.867137490608565,0.8606773854244929,0.8639302779864764,0
lapeigvals_gsm8k_mistral24b,4,30,13,21,0.803580864753971,0.8262099406297598,0.803580864753971,0.7941064934257562,0.7943153772030712,0
math500_qwenmath7b,0,28,8,8,0.9234022556390977,0.9339755639097745,0.9163533834586466,0.9163533834586466,0.9163533834586466,0
math500_qwenmath7b,1,28,9,15,0.922201138519924,0.9053944158308485,0.9211168338303064,0.9190783410138248,0.9147844944429386,0
math500_qwenmath7b,2,28,12,13,0.9321419321419321,0.8997668997668998,0.9026159026159027,0.902066822066822,0.9008132608132609,0
math500_qwenmath7b,3,28,9,10,0.9174838555369529,0.9083951207845012,0.9117436020090889,0.9102033006457785,0.9094857689547955,0
math500_qwenmath7b,4,28,15,13,0.8753886629992825,0.8820856254484574,0.8753886629992825,0.8728151160009568,0.8753886629992824,1
math500_dsmath7b,0,30,16,24,0.8054802770249925,0.8241493526046372,0.8054802770249925,0.7973020174646192,0.7977838000602229,0
math500_dsmath7b,1,30,16,23,0.7969444444444445,0.7847222222222222,0.7986111111111112,0.7904888888888888,0.8005111111111112,0
math500_dsmath7b,2,30,9,25,0.7893738140417457,0.7910002710761724,0.7896448902141502,0.7716129032258064,0.7673949579831932,0
math500_dsmath7b,3,30,19,22,0.7785359801488834,0.8058312655086849,0.7785359801488834,0.7778411910669975,0.7778411910669975,0
math500_dsmath7b,4,30,10,23,0.7638888888888888,0.7444444444444444,0.7577777777777778,0.7430777777777777,0.7327111111111111,0
losnet_hotpotqa_mistral7b,0,29,3,22,0.5501022494887525,0.5559551512587265,0.5494675974895988,0.5273958112968056,0.5397306254848037,0
losnet_hotpotqa_mistral7b,1,29,10,23,0.5600448933782266,0.5792648709315376,0.5597643097643097,0.5605106621773288,0.5587121212121212,0
losnet_hotpotqa_mistral7b,2,29,15,21,0.5742361111111112,0.5652083333333333,0.5738194444444443,0.5717472222222222,0.5734611111111111,0
losnet_hotpotqa_mistral7b,3,29,17,22,0.5403004019462662,0.5434031450532403,0.5393131655031379,0.5379733446160355,0.5378012834073761,0
losnet_hotpotqa_mistral7b,4,29,3,22,0.5860690235690236,0.5812991021324354,0.5846661054994389,0.5727777777777777,0.5879180695847362,0
math500_r1distill8b,0,28,16,21,0.8455165692007798,0.8460038986354775,0.8430799220272905,0.8437719298245614,0.8435185185185184,0
math500_r1distill8b,1,28,5,23,0.8139297385620916,0.806781045751634,0.8147467320261438,0.795874183006536,0.7966339869281046,0
math500_r1distill8b,2,28,5,23,0.8294920563884538,0.8350861490266278,0.8301633475050346,0.8030610874916089,0.8074379055717162,0
math500_r1distill8b,3,28,5,22,0.8423822052140636,0.845730686438651,0.8438172685960297,0.8222147811528342,0.8220043051901459,0
math500_r1distill8b,4,28,10,24,0.8190035273368605,0.8315696649029982,0.82010582010582,0.8059700176366843,0.8143033509700177,0
math500_r1distill8b_mn4096,0,29,8,25,0.8803827751196173,0.8855502392344498,0.877511961722488,0.8579674641148324,0.8496306220095693,0
math500_r1distill8b_mn4096,1,29,7,25,0.8408546693682077,0.8581690919137963,0.8502486645791122,0.8262884509117702,0.8069184011788544,0
math500_r1distill8b_mn4096,2,29,9,24,0.8012525326947872,0.8056732363234482,0.7907533615767176,0.7694529379259533,0.7723558666421071,0
math500_r1distill8b_mn4096,3,29,15,25,0.8582826747720363,0.8712006079027356,0.8541033434650456,0.8424924012158054,0.8473784194528876,0
math500_r1distill8b_mn4096,4,29,11,25,0.8485725308641975,0.8333333333333334,0.8499228395061729,0.8359259259259261,0.8347685185185185,0
lapeigvals_gsm8k_phi35,0,29,11,18,0.807552063754605,0.8000526276219833,0.807552063754605,0.802538155025938,0.8009946620554846,0
lapeigvals_gsm8k_phi35,1,29,13,18,0.7890131259115216,0.7941446551072221,0.7890131259115216,0.7846010911251553,0.7848034714344874,0
lapeigvals_gsm8k_phi35,2,29,16,20,0.8013468013468014,0.8122580528997642,0.8049118637353934,0.8047152451430526,0.8002981688543186,0
lapeigvals_gsm8k_phi35,3,29,17,18,0.7863735440365096,0.7867481779170357,0.7847387780123969,0.7827069000749267,0.7847074449969347,0
lapeigvals_gsm8k_phi35,4,29,17,20,0.8050590760466189,0.8045375218150086,0.8041363262522316,0.8017315600489457,0.8014410944614955,0
sciq_llama8b,0,30,19,24,0.7693984306887532,0.7890148212728857,0.7755013077593723,0.7758674803836094,0.7764603312990408,0
sciq_llama8b,1,30,23,24,0.7149758454106281,0.7125603864734299,0.711111111111111,0.7108985507246376,0.7120579710144926,0
sciq_llama8b,2,30,16,22,0.6834821428571428,0.6879464285714285,0.6767857142857143,0.6821071428571429,0.6804642857142856,0
sciq_llama8b,3,30,11,24,0.7621268656716418,0.7388059701492538,0.7551305970149254,0.7582462686567165,0.7603917910447763,0
sciq_llama8b,4,30,21,23,0.6928386540120793,0.6988783433994823,0.6876617773943053,0.6860224331320103,0.687679033649698,0
noise_gsm8k_mistral7b,0,29,8,23,0.8082112514351321,0.8346544202066591,0.8082112514351321,0.7930900574052814,0.7913923306544203,0
noise_gsm8k_mistral7b,1,29,9,23,0.795553678178863,0.83979650869154,0.795553678178863,0.7797636341931513,0.7774029146273151,0
noise_gsm8k_mistral7b,2,29,8,23,0.7834164439669027,0.81252812445473,0.7812307720564601,0.7661029837176625,0.7698990733853119,0
noise_gsm8k_mistral7b,3,29,9,23,0.7962627812330617,0.8334144840194393,0.7950776749869087,0.780444828251463,0.7766712294788288,0
noise_gsm8k_mistral7b,4,29,9,23,0.7901613436730494,0.8276305634165166,0.7901613436730494,0.7740435150134146,0.7746289830570767,0
noise_gsm8k_phi3mini,0,29,10,20,0.6938719772403983,0.6998691322901849,0.6934054054054055,0.68410173541963,0.6854982645803699,0
noise_gsm8k_phi3mini,1,29,13,18,0.6955819910867811,0.6949152542372882,0.6930203179282028,0.6874833608216071,0.6912746370963024,0
noise_gsm8k_phi3mini,2,29,14,17,0.6678009259259259,0.6670254629629631,0.6645486111111111,0.6631944444444444,0.6637916666666667,0
noise_gsm8k_phi3mini,3,29,13,20,0.6760354531055168,0.686875835495793,0.6749682652018109,0.6664006560397218,0.6670584931306799,0
noise_gsm8k_phi3mini,4,29,12,20,0.703733112765371,0.703236834849738,0.7049462365591398,0.6987879790460437,0.6998828784119108,0
spilled_triviaqa_llama8b,0,28,12,22,0.9706666666666667,0.9466666666666668,0.9706666666666667,0.9613866666666666,0.9579733333333332,0
spilled_triviaqa_llama8b,1,28,23,22,0.8452380952380951,0.8492063492063492,0.8492063492063492,0.853968253968254,0.8492063492063491,1
spilled_triviaqa_llama8b,2,28,19,22,0.9760000000000001,0.9786666666666666,0.9786666666666666,0.97248,0.9748266666666666,0
spilled_triviaqa_llama8b,3,28,21,22,0.9112903225806451,0.9314516129032258,0.9173387096774194,0.9208870967741934,0.9183870967741936,0
spilled_triviaqa_llama8b,4,28,21,22,0.84,0.8426666666666666,0.84,0.8395733333333333,0.8401066666666667,0
se_nq_open_llama8b,0,27,8,22,0.7560640995332478,0.7682590605596956,0.7560640995332478,0.7469202741422766,0.7388480218218791,0
se_nq_open_llama8b,1,27,8,22,0.7445468170875755,0.7570757792410109,0.7445468170875755,0.7311536034745414,0.7319973222519477,0
se_nq_open_llama8b,2,27,11,22,0.7527272458512358,0.7591094087630215,0.7527272458512358,0.7465936414880007,0.7449142564833958,0
se_nq_open_llama8b,3,27,12,22,0.7438149642203734,0.7542423615113046,0.7438149642203734,0.7398134916327705,0.7382398818349156,0
se_nq_open_llama8b,4,27,13,22,0.7389772792673399,0.7481259017785542,0.7389772792673397,0.73503121388267,0.736519868744263,0
se_squad_v2_llama8b,0,27,9,23,0.8213546659022297,0.8513983821408415,0.8213546659022296,0.8067672379041287,0.7996410430981197,0
se_squad_v2_llama8b,1,27,11,23,0.8179806492619883,0.8462699216083241,0.8179806492619883,0.8067941335718826,0.804823183219944,0
se_squad_v2_llama8b,2,27,12,23,0.8145883848489842,0.8381529697026766,0.8145883848489842,0.8037304079662893,0.8002863532569034,0
se_squad_v2_llama8b,3,27,11,23,0.8100314371536783,0.8415688725535925,0.8100314371536783,0.7948181869064722,0.8006913375249539,0
se_squad_v2_llama8b,4,27,12,23,0.8082607626300352,0.8382075643571572,0.8082607626300352,0.8015776385068049,0.7945941809834391,0
seiclr_triviaqa_opt30b,0,19,11,13,0.807576304359552,0.8351204893547617,0.807576304359552,0.8037288385915253,0.8069537332179211,0
seiclr_triviaqa_opt30b,1,19,11,13,0.8145338253192236,0.8421751552282527,0.8145338253192236,0.8121852373290426,0.8108821709264188,0
seiclr_triviaqa_opt30b,2,19,11,13,0.8220352731907721,0.8505035795450138,0.8220352731907721,0.8205821769942164,0.8182352287211627,0
seiclr_triviaqa_opt30b,3,19,11,13,0.811705393218497,0.8390693524172012,0.811705393218497,0.8080530025417115,0.8134768657888707,0
