method_id,method,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,pb_gsm8k_q4,pb_gsm8k_q8,pb_math_q4,pb_math_q8,pb_olympiadbench_q4,pb_olympiadbench_q8,pb_omnimath_q4,pb_omnimath_q8
B1_hist__raw,Top-15 varentropy / Original sum (Step 339 bank),35.960987290405434,36.63539010061059,35.286584480200275,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
B1_hist__equal,Top-15 contributions / equal weights (Step 339 bank),35.598043643273556,36.12819032849405,35.067896958053055,43.78300528084493,40.5,32.44005641748942,33.10201967892284,34.789685163521696,33.597156571763584,33.50001445212013,33.07241158152582
B1_hist__iu,Top-15 contributions / IU-PCR (Step 339 bank),35.34983585022531,35.898223922652384,34.801447777798245,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
B2d_sel__equal_identity,"D+Pii+selected (33) / identity-sign equal weights, anchor-oriented",32.80301762254606,34.330864826188154,31.275170418903954,44.163770000265345,36.237925775292325,35.25401851441018,33.92461952265841,29.341994817707384,27.713532972668588,28.56367597236974,27.224603404996493
B2d_sel__equal_oriented,D+Pii+selected (33) / anchor-sign equal weights,34.73083846503889,35.42338927487852,34.038287655199255,43.78300528084493,39.43973694195017,33.62296162082029,33.65295814473189,30.435486482111063,30.724047911547913,33.8521037157378,32.33640762256706
B2d_sel__iu,D+Pii+selected (33) / IU-PCR,34.74955239768771,35.453464439379005,34.04564035599643,43.00959361862671,39.43973694195017,33.78912871510905,33.78910249118417,31.04648050673566,30.724047911547913,33.9686549170446,32.22967407930345
B2d_sel__shrink,D+Pii+selected (33) / joint-target shrinkage IU,34.65815716140565,35.37396698881181,33.942347333999464,43.00959361862671,39.43973694195017,33.62296162082029,33.78910249118417,30.89465779875563,30.310875823560096,33.9686549170446,32.22967407930345
B2_sel__equal_identity,"D+Pii+Pij+selected (138) / identity-sign equal weights, anchor-oriented",34.075036910768844,35.12272089022295,33.02735293131474,42.616822429906534,36.85390251246194,33.95460417051117,33.24071735286689,30.89465779875563,29.892255630324012,33.02479916171848,32.12253622960611
B2_sel__equal_oriented,D+Pii+Pij+selected (138) / anchor-sign equal weights,34.37741172199,35.12974106086135,33.62508238311867,43.00959361862671,38.889955828692145,33.456098542292104,33.10201967892284,30.435486482111063,30.171946402292622,33.6177856004155,32.33640762256706
B2_sel__iu,D+Pii+Pij+selected (138) / IU-PCR,33.95101888258282,34.82121698561067,33.080820779554976,42.616822429906534,36.85390251246194,32.781598193943054,33.24071735286689,30.742220390906322,29.892255630324012,33.14422692768677,32.33640762256706
B2_sel__shrink,D+Pii+Pij+selected (138) / joint-target shrinkage IU,34.05626295169256,34.93028623863678,33.182239664748344,42.616822429906534,37.15596330275229,32.44005641748942,33.37877000263456,31.04648050673566,29.751486209921058,33.6177856004155,32.442739143685486
B2d__equal_identity,"D+Pii (30) / identity-sign equal weights, anchor-oriented",36.05929481367002,36.758790993908555,35.35979863343149,45.28301886792453,40.2396994442202,35.09392399179491,33.65295814473189,33.394983838348914,34.57809177089716,33.26323727756587,32.968445173876695
B2d__equal_oriented,D+Pii (30) / anchor-sign equal weights,34.68849332707817,35.40717432173262,33.969812332423714,43.398300313664514,39.43973694195017,33.78912871510905,33.51618211738892,30.589164542419127,30.5869226477887,33.8521037157378,32.33640762256706
B2d__iu,D+Pii (30) / IU-PCR,34.734782468488746,35.4243266390523,34.04523829792518,43.00959361862671,39.43973694195017,33.78912871510905,33.92461952265841,31.04648050673566,30.5869226477887,33.8521037157378,32.22967407930345
B2d__shrink,D+Pii (30) / joint-target shrinkage IU,34.59378102236611,35.25225100606806,33.93531103866417,43.00959361862671,39.16653411802132,33.28853509769461,33.78910249118417,30.742220390906322,30.449199922884134,33.9686549170446,32.33640762256706
B2__equal_identity,"D+Pii+Pij (135) / identity-sign equal weights, anchor-oriented",34.06885145531051,35.043242674410095,33.09446023621092,42.616822429906534,37.15596330275229,33.78912871510905,33.24071735286689,30.742220390906322,29.751486209921058,33.02479916171848,32.22967407930345
B2__equal_oriented,D+Pii+Pij (135) / anchor-sign equal weights,34.359969381319964,35.12974106086135,33.59019770177859,43.00959361862671,38.889955828692145,33.456098542292104,33.10201967892284,30.435486482111063,30.032407676932333,33.6177856004155,32.33640762256706
B2__iu,D+Pii+Pij (135) / IU-PCR,33.97223028312504,34.86363978669511,33.080820779554976,42.616822429906534,36.85390251246194,32.95128939828081,33.24071735286689,30.742220390906322,29.892255630324012,33.14422692768677,32.33640762256706
B2__shrink,D+Pii+Pij (135) / joint-target shrinkage IU,34.04728308017708,34.911647302946996,33.182918857407174,42.21992266216437,37.15596330275229,32.6111887237015,33.24071735286689,31.197692225506607,29.892255630324012,33.6177856004155,32.442739143685486
ref__k15__raw,Frozen Step 339 k15 raw,35.960987290405434,36.63539010061059,35.286584480200275,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
ref__k15__equal,Frozen Step 339 k15 equal,35.598043643273556,36.12819032849405,35.067896958053055,43.78300528084493,40.5,32.44005641748942,33.10201967892284,34.789685163521696,33.597156571763584,33.50001445212013,33.07241158152582
ref__k15__iu,Frozen Step 339 k15 IU,35.34983585022531,35.898223922652384,34.801447777798245,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
ref__k50__raw,Frozen Step 339 k50 raw,35.67552412698325,36.08075114834269,35.27029710562382,43.398300313664514,40.5,32.95128939828081,32.112689238832864,34.23826690130017,34.57809177089716,33.73514798012529,33.89040741276524
entropy,Token entropy reference,35.444376642134145,36.395290139975124,34.493463144293166,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
direct_iu,Direct probability IU-PCR (17 inputs),34.50209795170901,35.31084473042043,33.6933511729976,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
delta_iu,Direct probability + change IU-PCR (34 inputs),34.80850537033642,35.55079175814064,34.06621898253219,42.616822429906534,39.43973694195017,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.9686549170446,32.864090094701815
