method,display_method,n_cells,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high,label_use
upcr,Pure distributed-depth · deployed U-PCR,13,0.7846120000643241,0.7746804106155971,0.7942812618291765,0.648127917465134,0.6334152937060359,0.6664479598158002,none
best_single_layer,Strongest atomic internal layer/view · evaluation oracle,13,0.7841861699269465,0.7742311692024629,0.7941777986889518,0.648765119209901,0.6334680231392568,0.6668976074552662,evaluation-only
dufs_liu_pcr,Pure distributed-depth · DUFS-LIU-PCR,13,0.7839642556654662,0.7740342189859724,0.7936773898383552,0.648229461658061,0.6332469938571043,0.6665273712606151,none
iu_pcr,Pure distributed-depth · IU-PCR,13,0.7836450174600421,0.7736341382833009,0.7933689595301221,0.6478960590938644,0.6328978377603035,0.6665228014468756,none
equal_mean,Pure distributed-depth · equal mean,13,0.7798556965187987,0.7698142406620518,0.7896286464397294,0.6443357204620969,0.6297645204109319,0.6624609192909182,none
trilens_supervised_lr,TriLens · grouped L2 probe,13,0.7689325299729851,nan,nan,0.6455426487561878,nan,nan,supervised
dola_kl_supervised_lr,DoLa KL trajectory · grouped L2 probe,13,0.7678391095586053,nan,nan,0.6368137178711388,nan,nan,5-fold grouped supervised; source-benchmark approximation
generation_entropy_mean,Generation entropy · output baseline,13,0.7398721745791298,0.7285352724301019,0.75001979464306,0.6153916900485339,0.5990742181445675,0.6340247978410124,none; source-benchmark proxy
final_layer_nll,Final-layer target NLL · output baseline,13,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194,none; source-benchmark proxy
dola_kl_equal_mean,DoLa KL trajectory · equal mean proxy,13,0.6981011436659983,0.6864161840549037,0.7094455864362256,0.5836016862729868,0.5676456149881087,0.6021189179859198,none; source-benchmark proxy
spilled_energy_eq8_mean_proxy,Spilled Energy Eq. 8 · mean proxy,13,0.659604973129012,0.6480549312899975,0.6705439610810205,0.5421727317868856,0.5278794226721583,0.5593177065753321,none; source-benchmark proxy
haloscope_direct_proxy,HaloScope · direct projection proxy,13,0.557404795598178,0.5448185242745639,0.5701966726548009,0.426477718783078,0.41368577183250166,0.44403438476523693,none; source-benchmark proxy
