contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,wilcoxon_p_raw,protocol,wilcoxon_p_holm
upcr_minus_trilens,upcr,trilens_supervised_lr,auroc,0.009305038205177278,-0.0019800815466660604,0.02014604406142979,7,0,6,-0.06285866557314221,0.497314453125,paired within identical grouped-CV test folds,1.0
upcr_minus_trilens,upcr,trilens_supervised_lr,auprc,0.0024757142266634124,-0.010204878871875895,0.016758990708038064,6,0,7,-0.08803440166944432,0.946044921875,paired within identical grouped-CV test folds,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auroc,0.003145600195380255,-0.004360615523767043,0.010559980599760606,6,1,6,-0.05246080967081057,0.892578125,paired problem-group bootstrap,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auprc,-0.003599817816838461,-0.013595557397593837,0.006827443016852638,6,1,6,-0.08143745253960316,1.0,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auroc,0.0006442525361880588,-0.0009579553145274054,0.0023089730783405053,5,5,3,-0.015245061230543921,0.786865234375,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auprc,0.0008328336189360549,-0.0018855577721345765,0.0036477862839544386,4,5,4,-0.024978323740992237,0.83935546875,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auroc,0.003002431678629014,0.002062386300393831,0.003932275576236558,4,8,1,-0.01178308823529417,0.3125,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auprc,0.004716774876429046,0.0031957599486028398,0.006193875401491598,3,9,1,-0.006251737568388371,0.4375,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auroc,0.002414207499863703,0.0015799820648714946,0.0032645321936127965,5,5,3,-0.009816176470588411,0.375732421875,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auprc,0.003573261456446345,0.0020986116298110863,0.0049917593250807715,4,4,5,-0.005170650696459167,0.892578125,paired problem-group bootstrap,1.0
