contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,wilcoxon_p_raw,protocol,wilcoxon_p_holm
upcr_minus_trilens,upcr,trilens_supervised_lr,auroc,0.010997155339330291,-3.3351717007969504e-05,0.021792081359219277,7,0,6,-0.07165731504236857,0.414306640625,paired within identical grouped-CV test folds,1.0
upcr_minus_trilens,upcr,trilens_supervised_lr,auprc,0.009447617669943521,-0.003382290766730116,0.022489435186340074,7,0,6,-0.08404047776273406,0.541748046875,paired within identical grouped-CV test folds,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auroc,0.0052472216411918035,-0.0019552992166959977,0.012467663911372382,7,0,6,-0.05002619718584733,0.684814453125,paired problem-group bootstrap,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auprc,0.0054817225802665575,-0.0038773880330882286,0.014408081873695692,7,1,5,-0.04809515366718575,0.587890625,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auroc,0.0037886460448280325,0.0019232773310020985,0.005822869342314628,6,0,7,-0.011843202668890829,0.83935546875,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auprc,0.006473130289331151,0.0027778040605391493,0.009674772809565118,5,2,6,-0.030798704010413014,0.892578125,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auroc,0.0004514011542944968,-0.000778054333626716,0.0016756623812094172,5,7,1,-0.014768693485050943,0.4375,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auprc,0.0011449294800638644,-0.0010487089220334966,0.0032818726276213394,3,7,3,-0.015074510133748775,0.84375,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auroc,0.00043070013463768317,-0.0007288032985650919,0.0016138426346742354,5,6,2,-0.014350595584558201,0.339599609375,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auprc,0.0009424040800546032,-0.0010225361013629954,0.0029112312511371174,4,6,3,-0.014598359891306145,0.541748046875,paired problem-group bootstrap,1.0
