candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
top1_surprisal__max__spread8_p1,0.7805825108961568,0.7687062268121438,0.7741875886970729,0.6358548201023123,4.923076923076923,1
top1_surprisal__max__flat_top8_p1,0.7804799764036575,0.7670763170324009,0.7732626213575963,0.630024829711507,4.923076923076923,1
target_nll__max__spread4_p1,0.7801395795639859,0.7626085990576078,0.7706998208297823,0.6302837944167282,4.923076923076923,1
entropy_excess_over_top1__max__flat_top8_p1,0.7796632417527168,0.7672671397121311,0.7729884175770169,0.6317552653008629,4.923076923076923,1
target_nll__max__spread8_p1,0.7796095727744605,0.7650007625764808,0.7717432903601638,0.6329660702548139,4.923076923076923,1
top1_surprisal__max__spread4_p1,0.7793479804624526,0.7665602349637196,0.77246227134775,0.6322066621595333,4.923076923076923,1
top1_surprisal__max__flat_top5_p1,0.7791899710985705,0.7662440304172744,0.7722190799624878,0.6293931691367891,4.923076923076923,1
top1_surprisal__max__flat_top3_p2,0.7782793016886801,0.7663200585772189,0.7718397092440472,0.6319792126023048,4.923076923076923,1
kl_to_final__std__organic_all_p1,0.7779558913884473,0.758322316125508,0.7673839662468646,0.6273386989704941,4.615384615384615,5
entropy_excess_over_top1__max__flat_top5_p1,0.7779461257179978,0.7689972100030478,0.7731274787945632,0.6323455899706933,4.923076923076923,1
target_nll__max__flat_top8_p1,0.7779376117956184,0.7651101840503879,0.7710305353174174,0.6335801810816899,4.923076923076923,1
kl_to_final__max__spread4_p1,0.7779372061563982,0.7635921649621793,0.7702129532056651,0.6295463724524931,4.538461538461538,6
target_gap__max__spread8_p1,0.7776668932306499,0.7637039308798711,0.7701483750417689,0.6313011961020816,4.923076923076923,1
target_nll__cvar80__organic_all_p1,0.7776459435427837,0.7571786135534728,0.7666250735485393,0.6288690524739129,5.0,0
top1_surprisal__max__organic_top8_p1,0.7775372495263269,0.7630704470682738,0.7697474328181445,0.626336805376098,4.923076923076923,1
kl_to_final__max__spread8_p1,0.7773499246379116,0.7627070947258786,0.7694653239160476,0.6289667696686853,4.538461538461538,6
entropy__max__flat_top8_p1,0.7773119306025983,0.7692258719649285,0.7729578990284686,0.6270254639719407,4.923076923076923,1
kl_to_final__max__organic_top8_p1,0.7772933289025268,0.7615172654197567,0.7687985254887274,0.625392682729871,4.461538461538462,7
entropy_excess_over_top1__max__spread4_p1,0.7772148838198868,0.7702698848033261,0.7734752689648156,0.6350634467180505,4.923076923076923,1
entropy_excess_over_top1__max__spread8_p1,0.7771159178393163,0.7700158939910261,0.7732928280748522,0.6339491524084067,4.923076923076923,1
kl_to_final__max__organic_all_p1,0.7770366373743309,0.7633957604438034,0.7696915497963547,0.628058963399636,4.384615384615385,8
target_excess_over_entropy__max__spread8_p1,0.7769823443468308,0.7612892114594098,0.7685321958689888,0.6277418186335745,4.769230769230769,3
entropy__max__spread8_p1,0.7769085647555473,0.7713166717806532,0.7738975454613736,0.6325468030347394,4.923076923076923,1
target_nll__cvar80__organic_top8_p1,0.7768425289801025,0.7579638225999092,0.7666770716984599,0.6290972022383863,5.0,0
kl_to_final__q90__organic_all_p1,0.7766538009088005,0.7571875506110881,0.7661719738254169,0.6262301959512233,4.769230769230769,3
kl_to_final__cvar80__organic_all_p1,0.7766383989185149,0.7567436918451155,0.7659258643405307,0.6267469106076853,4.846153846153846,2
entropy__mean__organic_top8_p1,0.7764506725982776,0.7519179830110293,0.7632407628205284,0.6222692730301939,4.923076923076923,1
entropy__max__organic_top8_p1,0.7763716617939762,0.766128379319925,0.7708560481541025,0.6263829510083642,5.0,0
target_gap__max__flat_top8_p1,0.7763298836092017,0.7637003027486705,0.7695293400689157,0.6313545290633892,4.923076923076923,1
target_excess_over_entropy__cvar80__spread8_p1,0.7762589098623239,0.7567079408402435,0.7657314650042806,0.6263281820719884,4.769230769230769,3
entropy__max__spread4_p1,0.7761624508868713,0.7691512169355382,0.7723871710669228,0.6329060523074658,4.923076923076923,1
target_gap__cvar80__spread4_p1,0.7760696027464843,0.7588851035736438,0.7668164108841856,0.6293547807709247,5.0,0
entropy__max__flat_top5_p1,0.7760595788748291,0.7697869155250162,0.7726819909172374,0.6285231054712104,4.923076923076923,1
