contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm
resid_entropy_burst__iu_pcr_minus_resid_entropy_burst__best_layer_oracle,resid_entropy_burst__iu_pcr,resid_entropy_burst__best_layer_oracle,auroc,-0.15120288400679582,-0.1653552557699905,-0.1369246054970241,0,0,13,-0.39679731448376443,0.000244140625,0.01171875
resid_entropy_burst__iu_pcr_minus_resid_entropy_burst__best_layer_oracle,resid_entropy_burst__iu_pcr,resid_entropy_burst__best_layer_oracle,auprc,-0.1669007021418794,-0.18240045304359107,-0.14873930912669803,0,0,13,-0.36340286476263955,0.000244140625,0.01171875
resid_entropy_burst__iu_pcr_minus_resid_entropy_burst__equal_mean,resid_entropy_burst__iu_pcr,resid_entropy_burst__equal_mean,auroc,-0.055001854580053994,-0.06187878448270126,-0.048229609813359116,0,0,13,-0.149791492910759,0.000244140625,0.01171875
resid_entropy_burst__iu_pcr_minus_resid_entropy_burst__equal_mean,resid_entropy_burst__iu_pcr,resid_entropy_burst__equal_mean,auprc,-0.05269428767183039,-0.060612446463087714,-0.044265420003289535,0,0,13,-0.15223277834495552,0.000244140625,0.01171875
resid_entropy_burst__dufs_liu_pcr_minus_resid_entropy_burst__best_layer_oracle,resid_entropy_burst__dufs_liu_pcr,resid_entropy_burst__best_layer_oracle,auroc,-0.15097464761322874,-0.16511895159312082,-0.13666758072700977,0,0,13,-0.39638586435972933,0.000244140625,0.01171875
resid_entropy_burst__dufs_liu_pcr_minus_resid_entropy_burst__best_layer_oracle,resid_entropy_burst__dufs_liu_pcr,resid_entropy_burst__best_layer_oracle,auprc,-0.16670560886515745,-0.18236014468115372,-0.14830462266037184,0,0,13,-0.36389703011282915,0.000244140625,0.01171875
resid_entropy_burst__dufs_liu_pcr_minus_resid_entropy_burst__equal_mean,resid_entropy_burst__dufs_liu_pcr,resid_entropy_burst__equal_mean,auroc,-0.05477361818648691,-0.061783021146398796,-0.047928862082270755,0,0,13,-0.15091364015467446,0.000244140625,0.01171875
resid_entropy_burst__dufs_liu_pcr_minus_resid_entropy_burst__equal_mean,resid_entropy_burst__dufs_liu_pcr,resid_entropy_burst__equal_mean,auprc,-0.052499194395108445,-0.060306663279053915,-0.04412157706811065,0,0,13,-0.15539082095563794,0.000244140625,0.01171875
resid_entropy_dispersion__iu_pcr_minus_resid_entropy_dispersion__best_layer_oracle,resid_entropy_dispersion__iu_pcr,resid_entropy_dispersion__best_layer_oracle,auroc,-0.14527140636175007,-0.15878230883393252,-0.1322092648908671,1,0,12,-0.27146864811585414,0.00048828125,0.015625
resid_entropy_dispersion__iu_pcr_minus_resid_entropy_dispersion__best_layer_oracle,resid_entropy_dispersion__iu_pcr,resid_entropy_dispersion__best_layer_oracle,auprc,-0.16813665431357802,-0.18371145008762482,-0.15102893903367093,1,0,12,-0.3864164377420813,0.00048828125,0.015625
