cell,contract,diagnostic,feature_a,feature_b,value,effective_rank,layer_distance
gsm8k_t1.0,resid-core-32,layer_correlation,0,0,0.9999999999999998,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,1,0.688475081279212,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,2,0.5805885238462977,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,3,0.4945578461913935,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,4,0.322808146723523,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,5,0.32596708947100633,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,6,0.17165351383854663,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,7,0.0768168517808189,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,8,0.19654729095846735,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,9,0.32852998358030605,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,10,0.26067836723942284,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,11,0.3296583106236631,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,12,0.2665792864238639,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,13,0.20658720006496892,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,14,0.2531057153516632,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,15,0.3624667770047043,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,16,0.35656669635969607,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,17,0.38211176057311125,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,18,0.3609658968340903,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,19,0.2860691539391262,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,20,0.3331784457129525,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,21,0.32794802602091055,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,22,0.2337659673247847,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,0,23,0.23584081258993717,5.740438404543392,
