contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm,primary,per_cell_deltas_json
primary_dufs_all_depth_minus_final_nll,dufs_liu_pcr__resid-core-L__all__flat,final_layer_nll__resid-core-L__all__flat,auroc,-0.11171253356309695,-0.12454894778180144,-0.0995843026408921,3,0,10,-0.2055124927846953,0.00341796875,0.15380859375,True,"{""gsm8k_mistral24b_t1.0"": -0.10507999090150888, ""gsm8k_mistral7b_t1.0"": -0.18129832662829404, ""gsm8k_nemo_t1.0"": -0.18320886039629125, ""gsm8k_phi35_t1.0"": -0.1982042830640658, ""gsm8k_phi3mini_t1.0"": -0.18943237940599422, ""gsm8k_r1distill_t0.0"": -0.12861212861212856, ""gsm8k_t1.0"": -0.2055124927846953, ""nq_open_t0.5"": -0.11300890149744702, ""sciq_t1.0"": 0.05187677874498253, ""squadv2_t0.5"": 0.06939630552464315, ""triviaqa_qwen3_t0.6"": -0.15366021773409244, ""triviaqa_t1.0"": 0.006856617647058805, ""truthfulqa_t0.5"": -0.12237505721242736}"
primary_dufs_all_depth_minus_final_nll,dufs_liu_pcr__resid-core-L__all__flat,final_layer_nll__resid-core-L__all__flat,auprc,-0.11067909847012847,-0.12479277205891377,-0.09550504116590067,3,0,10,-0.28908042206658285,0.013427734375,0.577392578125,False,"{""gsm8k_mistral24b_t1.0"": -0.19032012602656712, ""gsm8k_mistral7b_t1.0"": -0.18102702651722413, ""gsm8k_nemo_t1.0"": -0.17302782195625077, ""gsm8k_phi35_t1.0"": -0.2343771475478418, ""gsm8k_phi3mini_t1.0"": -0.1679537888846535, ""gsm8k_r1distill_t0.0"": -0.1346365705252403, ""gsm8k_t1.0"": -0.28908042206658285, ""nq_open_t0.5"": -0.0974289168105601, ""sciq_t1.0"": 0.10548153613942832, ""squadv2_t0.5"": 0.1386169281874634, ""triviaqa_qwen3_t0.6"": -0.17485059813792314, ""triviaqa_t1.0"": 0.0017771181280641368, ""truthfulqa_t0.5"": -0.04200144409378215}"
primary_dufs_all_depth_minus_iu,dufs_liu_pcr__resid-core-L__all__flat,iu_pcr__resid-core-L__all__flat,auroc,-0.0025318022989363476,-0.0032458064057281012,-0.0018580820269027201,2,4,7,-0.015626288447266323,0.0478515625,1.0,True,"{""gsm8k_mistral24b_t1.0"": -0.0033891879596633645, ""gsm8k_mistral7b_t1.0"": -0.0026999686213533547, ""gsm8k_nemo_t1.0"": -0.004590878907370977, ""gsm8k_phi35_t1.0"": -0.0013913654292969646, ""gsm8k_phi3mini_t1.0"": -0.000487675619601613, ""gsm8k_r1distill_t0.0"": -0.007224257224257347, ""gsm8k_t1.0"": -0.015626288447266323, ""nq_open_t0.5"": -0.004236208302968336, ""sciq_t1.0"": -4.635166078015285e-05, ""squadv2_t0.5"": 0.00295303071350439, ""triviaqa_qwen3_t0.6"": -9.378054168973637e-05, ""triviaqa_t1.0"": 0.004448529411764657, ""truthfulqa_t0.5"": -0.0005290272971933963}"
primary_dufs_all_depth_minus_iu,dufs_liu_pcr__resid-core-L__all__flat,iu_pcr__resid-core-L__all__flat,auprc,-0.002669802429550725,-0.003814691041214198,-0.0015786757246832343,2,4,7,-0.01924725575708003,0.068115234375,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.007669258593252626, ""gsm8k_mistral7b_t1.0"": -0.0030493093635827195, ""gsm8k_nemo_t1.0"": -0.004722652238244807, ""gsm8k_phi35_t1.0"": -0.0008009922465091746, ""gsm8k_phi3mini_t1.0"": -0.00031491853948922843, ""gsm8k_r1distill_t0.0"": -0.003997878340003536, ""gsm8k_t1.0"": -0.01924725575708003, ""nq_open_t0.5"": -0.002347831801360334, ""sciq_t1.0"": -0.0021652772148575417, ""squadv2_t0.5"": 0.007207859002394179, ""triviaqa_qwen3_t0.6"": -0.00022007955644909316, ""triviaqa_t1.0"": 0.0035222132657727334, ""truthfulqa_t0.5"": -0.0009020502014972509}"
iu_minus_upcr_all_depth,iu_pcr__resid-core-L__all__flat,upcr__resid-core-L__all__flat,auroc,0.0010314378495642762,-0.001194581605704369,0.003260585879784474,6,4,3,-0.01556989710613943,0.587890625,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.010235802562741703, ""gsm8k_mistral7b_t1.0"": -0.01556989710613943, ""gsm8k_nemo_t1.0"": 0.008816946901566647, ""gsm8k_phi35_t1.0"": -0.012814970911907198, ""gsm8k_phi3mini_t1.0"": 5.637868434693605e-05, ""gsm8k_r1distill_t0.0"": -0.00073260073260073, ""gsm8k_t1.0"": -0.00014430609384030735, ""nq_open_t0.5"": 0.0070707738587167945, ""sciq_t1.0"": 0.012561300071381565, ""squadv2_t0.5"": 0.0008729184586364624, ""triviaqa_qwen3_t0.6"": 0.003105320189334293, ""triviaqa_t1.0"": -0.003235294117647003, ""truthfulqa_t0.5"": 0.003186320279745858}"
iu_minus_upcr_all_depth,iu_pcr__resid-core-L__all__flat,upcr__resid-core-L__all__flat,auprc,0.004524691445956707,0.001603089509822875,0.007213785954277836,8,2,3,-0.017630730455118315,0.2734375,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.031885861145785566, ""gsm8k_mistral7b_t1.0"": -0.017630730455118315, ""gsm8k_nemo_t1.0"": 0.009089200910273515, ""gsm8k_phi35_t1.0"": -0.007933230176425637, ""gsm8k_phi3mini_t1.0"": -0.0007757512602696304, ""gsm8k_r1distill_t0.0"": 0.001945537637975392, ""gsm8k_t1.0"": 0.0032410191828216584, ""nq_open_t0.5"": 0.005837178196501647, ""sciq_t1.0"": 0.02977409730911529, ""squadv2_t0.5"": -0.0005897689612972545, ""triviaqa_qwen3_t0.6"": 0.0025495822583132544, ""triviaqa_t1.0"": -0.0032930886445181606, ""truthfulqa_t0.5"": 0.004721081654279868}"
upcr_minus_equal_mean,upcr__resid-core-L__all__flat,equal_mean__resid-core-L__all__flat,auroc,0.023367210748087293,0.01991126641973647,0.026744698881445133,12,1,0,-0.0009826552085361318,0.00048828125,0.02587890625,False,"{""gsm8k_mistral24b_t1.0"": 0.004071574797179456, ""gsm8k_mistral7b_t1.0"": 0.0378581029500612, ""gsm8k_nemo_t1.0"": 0.00626736950836615, ""gsm8k_phi35_t1.0"": 0.08674645629581595, ""gsm8k_phi3mini_t1.0"": 0.03134091062850958, ""gsm8k_r1distill_t0.0"": 0.02317867317867317, ""gsm8k_t1.0"": 0.03566422033479011, ""nq_open_t0.5"": 0.01115606186588125, ""sciq_t1.0"": -0.0009826552085361318, ""squadv2_t0.5"": 0.013492335935909594, ""triviaqa_qwen3_t0.6"": 0.011329521618415272, ""triviaqa_t1.0"": 0.02895220588235292, ""truthfulqa_t0.5"": 0.014698961937716304}"
upcr_minus_equal_mean,upcr__resid-core-L__all__flat,equal_mean__resid-core-L__all__flat,auprc,0.020359860699978822,0.016420472418024485,0.024302594357100984,12,1,0,0.0003589349409323095,0.000244140625,0.013671875,False,"{""gsm8k_mistral24b_t1.0"": 0.006843116264503402, ""gsm8k_mistral7b_t1.0"": 0.04105986848980048, ""gsm8k_nemo_t1.0"": 0.015461781752549336, ""gsm8k_phi35_t1.0"": 0.047137848867895654, ""gsm8k_phi3mini_t1.0"": 0.017373661069548352, ""gsm8k_r1distill_t0.0"": 0.01130956019717727, ""gsm8k_t1.0"": 0.04694983742618708, ""nq_open_t0.5"": 0.014986788698945874, ""sciq_t1.0"": 0.015020778699053716, ""squadv2_t0.5"": 0.01958649747378005, ""triviaqa_qwen3_t0.6"": 0.008139707468858504, ""triviaqa_t1.0"": 0.020449807750492655, ""truthfulqa_t0.5"": 0.0003589349409323095}"
trilens_dufs_minus_trilens_equal_mean,dufs_liu_pcr__trilens-entropy-3L__all__flat,trilens_equal_mean__trilens-entropy-3L__all__flat,auroc,-0.004259877741877433,-0.015956101590557204,0.007416511365333549,7,0,6,-0.12216548693287216,0.946044921875,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.030108423686405317, ""gsm8k_mistral7b_t1.0"": 0.05908786489385126, ""gsm8k_nemo_t1.0"": -0.0534960362679433, ""gsm8k_phi35_t1.0"": -0.12216548693287216, ""gsm8k_phi3mini_t1.0"": -0.012386396951040601, ""gsm8k_r1distill_t0.0"": 0.017765567765567702, ""gsm8k_t1.0"": 0.030551661581594836, ""nq_open_t0.5"": 0.04380640586055562, ""sciq_t1.0"": 0.04537827590362553, ""squadv2_t0.5"": 0.009567636920865819, ""triviaqa_qwen3_t0.6"": -0.013806544185438308, ""triviaqa_t1.0"": 0.0672610294117647, ""truthfulqa_t0.5"": -0.09683396495853241}"
trilens_dufs_minus_trilens_equal_mean,dufs_liu_pcr__trilens-entropy-3L__all__flat,trilens_equal_mean__trilens-entropy-3L__all__flat,auprc,-5.820098298375393e-05,-0.007960917888218632,0.0074499401453872426,7,0,6,-0.08536980575614722,0.684814453125,1.0,False,"{""gsm8k_mistral24b_t1.0"": -0.014535229509314407, ""gsm8k_mistral7b_t1.0"": 0.035465332803740146, ""gsm8k_nemo_t1.0"": -0.07064444637622275, ""gsm8k_phi35_t1.0"": -0.08536980575614722, ""gsm8k_phi3mini_t1.0"": -0.01648560603185728, ""gsm8k_r1distill_t0.0"": 0.014989727281905951, ""gsm8k_t1.0"": 0.023720026709069086, ""nq_open_t0.5"": 0.03321938805470481, ""sciq_t1.0"": 0.04206826361445476, ""squadv2_t0.5"": 0.02324450553621238, ""triviaqa_qwen3_t0.6"": -0.00880850734839489, ""triviaqa_t1.0"": 0.04872119136652342, ""truthfulqa_t0.5"": -0.02634145312346281}"
trilens_dufs_minus_final_nll,dufs_liu_pcr__trilens-entropy-3L__all__flat,final_layer_nll__resid-core-L__all__flat,auroc,-0.16462831039378265,-0.17904645204603256,-0.15018098494951737,2,0,11,-0.35203262922710593,0.00244140625,0.1171875,False,"{""gsm8k_mistral24b_t1.0"": -0.2966563044961711, ""gsm8k_mistral7b_t1.0"": -0.3007994529812054, ""gsm8k_nemo_t1.0"": -0.25111697723415927, ""gsm8k_phi35_t1.0"": -0.25899659588263896, ""gsm8k_phi3mini_t1.0"": -0.024293575085131858, ""gsm8k_r1distill_t0.0"": -0.16076516076516068, ""gsm8k_t1.0"": -0.17939308979962065, ""nq_open_t0.5"": -0.19608354432374686, ""sciq_t1.0"": 0.020950950672562807, ""squadv2_t0.5"": 0.045883498888687146, ""triviaqa_qwen3_t0.6"": -0.35203262922710593, ""triviaqa_t1.0"": -0.028713235294117623, ""truthfulqa_t0.5"": -0.15815191959136582}"
trilens_dufs_minus_final_nll,dufs_liu_pcr__trilens-entropy-3L__all__flat,final_layer_nll__resid-core-L__all__flat,auprc,-0.156383245215999,-0.17131931343446832,-0.1398111452493315,2,0,11,-0.37458338090945487,0.006103515625,0.2685546875,False,"{""gsm8k_mistral24b_t1.0"": -0.37458338090945487, ""gsm8k_mistral7b_t1.0"": -0.26373935393687714, ""gsm8k_nemo_t1.0"": -0.22351574065412044, ""gsm8k_phi35_t1.0"": -0.2629232120632344, ""gsm8k_phi3mini_t1.0"": -0.02529514768711949, ""gsm8k_r1distill_t0.0"": -0.17178318925667974, ""gsm8k_t1.0"": -0.31584559609134055, ""nq_open_t0.5"": -0.16277173667798583, ""sciq_t1.0"": 0.05412870216855151, ""squadv2_t0.5"": 0.0911494894540712, ""triviaqa_qwen3_t0.6"": -0.3122717517941449, ""triviaqa_t1.0"": -0.011203261830802225, ""truthfulqa_t0.5"": -0.054328008528850225}"
trilens_dufs_minus_trilens_iu,dufs_liu_pcr__trilens-entropy-3L__all__flat,iu_pcr__trilens-entropy-3L__all__flat,auroc,-0.0007170876394135059,-0.0011754086879000123,-0.00021974352759753947,3,6,4,-0.007978065473736251,0.946044921875,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.0007657896732125025, ""gsm8k_mistral7b_t1.0"": -0.00547721301417653, ""gsm8k_nemo_t1.0"": -0.0018855395512414885, ""gsm8k_phi35_t1.0"": 0.00020262603339277208, ""gsm8k_phi3mini_t1.0"": -0.0054179915657487365, ""gsm8k_r1distill_t0.0"": -1.1102230246251565e-16, ""gsm8k_t1.0"": -0.007978065473736251, ""nq_open_t0.5"": 2.972005825141455e-05, ""sciq_t1.0"": 0.003967702162768538, ""squadv2_t0.5"": 0.002400316368029176, ""triviaqa_qwen3_t0.6"": 0.0007892928867139215, ""triviaqa_t1.0"": 0.0034375000000000933, ""truthfulqa_t0.5"": -0.0001562768898408784}"
trilens_dufs_minus_trilens_iu,dufs_liu_pcr__trilens-entropy-3L__all__flat,iu_pcr__trilens-entropy-3L__all__flat,auprc,-0.0004467995821977685,-0.0010794541840034417,0.0002989474888990791,4,5,4,-0.008657370585001878,1.0,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.00025645421769585064, ""gsm8k_mistral7b_t1.0"": -0.00451381625098668, ""gsm8k_nemo_t1.0"": -0.002341511927826667, ""gsm8k_phi35_t1.0"": 6.778315707040017e-05, ""gsm8k_phi3mini_t1.0"": -0.005373372323163428, ""gsm8k_r1distill_t0.0"": 2.0563710086518583e-05, ""gsm8k_t1.0"": -0.008657370585001878, ""nq_open_t0.5"": 0.00015262789971703938, ""sciq_t1.0"": 0.008246876911060963, ""squadv2_t0.5"": 0.00260756287952868, ""triviaqa_qwen3_t0.6"": 0.0010423260372023901, ""triviaqa_t1.0"": 0.0030214683850023905, ""truthfulqa_t0.5"": -0.00033798667895657}"
expanded_lens_dufs_minus_trilens_dufs,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr__trilens-entropy-3L__all__flat,auroc,0.16011128555590565,0.14574482400837838,0.17470262767626457,12,0,1,-0.034740545294635106,0.00048828125,0.02587890625,False,"{""gsm8k_mistral24b_t1.0"": 0.26133899461672605, ""gsm8k_mistral7b_t1.0"": 0.23544288383812356, ""gsm8k_nemo_t1.0"": 0.24678433526532828, ""gsm8k_phi35_t1.0"": 0.28116838673655004, ""gsm8k_phi3mini_t1.0"": -0.034740545294635106, ""gsm8k_r1distill_t0.0"": 0.15042735042735045, ""gsm8k_t1.0"": 0.16207635853879787, ""nq_open_t0.5"": 0.17588122472720036, ""sciq_t1.0"": 0.06395602154425195, ""squadv2_t0.5"": 0.09884017513816501, ""triviaqa_qwen3_t0.6"": 0.2695772882092093, ""triviaqa_t1.0"": 0.08999999999999997, ""truthfulqa_t0.5"": 0.08069423847970553}"
expanded_lens_dufs_minus_trilens_dufs,dufs_liu_pcr__lens-96__spaced8__flat,dufs_liu_pcr__trilens-entropy-3L__all__flat,auprc,0.16968206297791807,0.15335091017085556,0.18516392587852626,12,0,1,-0.04202786640929923,0.000732421875,0.03662109375,False,"{""gsm8k_mistral24b_t1.0"": 0.32942307482179345, ""gsm8k_mistral7b_t1.0"": 0.2165192233213497, ""gsm8k_nemo_t1.0"": 0.2190242954178513, ""gsm8k_phi35_t1.0"": 0.2902061155956475, ""gsm8k_phi3mini_t1.0"": -0.04202786640929923, ""gsm8k_r1distill_t0.0"": 0.14993108316003723, ""gsm8k_t1.0"": 0.2829200980344788, ""nq_open_t0.5"": 0.16154260995393965, ""sciq_t1.0"": 0.15125015544370268, ""squadv2_t0.5"": 0.12151883091203253, ""triviaqa_qwen3_t0.6"": 0.2337588519676368, ""triviaqa_t1.0"": 0.05225162355013102, ""truthfulqa_t0.5"": 0.039548722943633985}"
dufs_all_depth_minus_haloscope_direct_proxy,dufs_liu_pcr__resid-core-L__all__flat,haloscope_direct_proxy__middle-layer-mean-token-JL__middle__flat,auroc,0.060661066011576045,0.04382944228519049,0.07710219877168469,9,0,4,-0.09785716116511978,0.10986328125,1.0,False,"{""gsm8k_mistral24b_t1.0"": 0.06064144362726509, ""gsm8k_mistral7b_t1.0"": 0.02024156874499461, ""gsm8k_nemo_t1.0"": 0.02463088513784928, ""gsm8k_phi35_t1.0"": -0.016322652689973127, ""gsm8k_phi3mini_t1.0"": -0.026909546038833554, ""gsm8k_r1distill_t0.0"": 0.04867724867724865, ""gsm8k_t1.0"": -0.06574173332233857, ""nq_open_t0.5"": 0.08318880305005394, ""sciq_t1.0"": 0.09407533071909957, ""squadv2_t0.5"": 0.13423185918691183, ""triviaqa_qwen3_t0.6"": 0.10595104751744833, ""triviaqa_t1.0"": 0.4237867647058823, ""truthfulqa_t0.5"": -0.09785716116511978}"
