cell,method,contract,kind,graph_components,mean_degree,spectral_gap,condition_number,weight_cosine_vs_iu,feature,value,seed,epoch
gsm8k_t1.0,controls_all,controls_all,graph_health,,,,,,,,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,0,0.024008511432999067,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,1,0.022535429238939968,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,2,0.024938961338886914,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,3,0.026423750491208195,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,4,0.02375599124955754,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,5,0.022741742186824784,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,6,0.02220656028517191,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,7,0.018342499159197494,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,8,0.023406547503704356,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,9,0.02558978225727719,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,10,0.022635906424047884,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,11,0.02503835952937157,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,12,0.023054227965083652,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,13,0.020031744856033762,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,14,0.025675124236353573,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,15,0.028794427560266986,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,16,0.03226284316396078,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,17,0.03400675924192787,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,18,0.03334356081063989,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,19,0.03362581117697428,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,20,0.03359974562348108,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,21,0.03341751619197981,,
gsm8k_t1.0,core_all,core_all,deployed_weights,,,,,,22,0.03059633910227095,,
