white_cell,gray_cell,n_white,n_gray,n_common,n_problem_groups,hallucination_prevalence,white_pure_upcr__auroc,white_pure_upcr__auprc,gray_mixed_v2_dufs_liu__auroc,gray_mixed_v2_dufs_liu__auprc,gray_mixed_v2_upcr__auroc,gray_mixed_v2_upcr__auprc,exploratory_equal_z_hybrid__auroc,exploratory_equal_z_hybrid__auprc,white_minus_gray_final__auroc,white_minus_gray_final__auprc,white_minus_gray_same_upcr__auroc,white_minus_gray_same_upcr__auprc,hybrid_minus_gray_final__auroc,hybrid_minus_gray_final__auprc,white_gray_final_spearman
gsm8k_t1.0,lapeigvals_gsm8k_llama8b,496,500,496,496,0.2701612903225806,0.8078667436299167,0.681559985037544,0.8129793023831121,0.6779973597547442,0.8051867733157416,0.6778582307521815,0.8131029933206892,0.682470118898305,-0.005112558753195384,0.003562625282799825,0.0026799703141751063,0.0037017542853624574,0.00012369093757713667,0.004472759143560823,0.9122516132965928
triviaqa_t1.0,spilled_triviaqa_llama8b,500,256,256,256,0.9765625,0.9760000000000001,0.9994118028625786,0.9380000000000001,0.9983492761540766,0.9299999999999999,0.9981133961042163,0.9673333333333334,0.9991825541690608,0.038000000000000034,0.0010625267085019319,0.04600000000000015,0.001298406758362236,0.029333333333333322,0.0008332780149841179,0.9381916628519111
sciq_t1.0,sciq_llama8b,1000,198,198,198,0.3383838383838384,0.7059359690099122,0.5678742089317543,0.7393186738065398,0.5988304160021021,0.7401162128289849,0.598662792072565,0.7361285177167597,0.5945113123205598,-0.03338270479662764,-0.03095620707034774,-0.0341802438190727,-0.030788583140810677,-0.0031901560897801273,-0.004319103681542313,0.8357253116837843
truthfulqa_t0.5,truthfulqa_llama8b,8170,7633,7633,798,0.8940128389886022,0.6870972369750042,0.9418057176127137,0.6617792289845916,0.9368619435658369,0.6618596547921464,0.9370538096536252,0.6778892065668034,0.9407292742813824,0.025318007990412617,0.004943774046876848,0.025237582182857876,0.0047519079590885305,0.016109977582211776,0.0038673307155455694,0.8916503129465396
squadv2_t0.5,se_squad_v2_llama8b,10000,2933,2933,503,0.7204227753153768,0.8156216453314558,0.9124718165902963,0.8112734177507417,0.9022515840457959,0.8102507127768864,0.9021432380410315,0.8217648009419043,0.911176805396191,0.00434822758071407,0.01022023254450044,0.00537093255456933,0.010328578549264833,0.010491383191162607,0.008925221350395085,0.8734889987986231
nq_open_t0.5,se_nq_open_llama8b,10000,8460,8460,940,0.514775413711584,0.750467339121874,0.7326706362260569,0.7433446092874892,0.7254391835961835,0.7468965488308482,0.7287230207547112,0.7516977279814736,0.7315591124990319,0.007122729834384778,0.007231452629873347,0.003570790291025805,0.0039476154713457,0.008353118693984363,0.006119928902848404,0.9316785366476983
gsm8k_r1distill_t0.0,ars_gsm8k_r1distill8b,499,500,499,499,0.27054108216432865,0.6870166870166869,0.42484151130611025,0.7559218559218559,0.5433940780210738,0.7372608872608872,0.5234893465653714,0.7344525844525844,0.5136053140930765,-0.06890516890516896,-0.1185525667149635,-0.05024420024420029,-0.09864783525926113,-0.021469271469271467,-0.02978876392799723,0.7512622353140015
gsm8k_mistral24b_t1.0,lapeigvals_gsm8k_mistral24b,1319,1319,1319,1319,0.08263836239575435,0.8495185381757525,0.44852490457704,0.8467586625217984,0.507113971748331,0.8442186670710441,0.5033384725566482,0.8582303434680415,0.5086917906868906,0.0027598756539540803,-0.058589067171290976,0.00529987110470842,-0.054813567979608235,0.011471680946243068,0.001577818938559683,0.8435831467068059
gsm8k_nemo_t1.0,lapeigvals_gsm8k_nemo,1317,1319,1317,1317,0.16932422171602127,0.7747272116149236,0.4612445338189646,0.7969109943351833,0.5010772009612804,0.7954722456776055,0.49271694096055374,0.7913814446512162,0.49225325954999455,-0.02218378272025967,-0.039832667142315814,-0.02074503406268191,-0.031472407141589165,-0.005529549683967128,-0.00882394141128584,0.8635052947924611
gsm8k_phi35_t1.0,lapeigvals_gsm8k_phi35,1315,1319,1315,1315,0.15133079847908745,0.8164973613587652,0.5177482262228067,0.8098467246627401,0.4525357236227153,0.8084013256245384,0.46005619464922165,0.8211397489238306,0.47779620556004193,0.0066506366960250585,0.06521250260009137,0.008096035734226792,0.057692031573585045,0.011293024261090467,0.025260481937326607,0.795391820316545
gsm8k_mistral7b_t1.0,noise_gsm8k_mistral7b,1307,1319,1307,1307,0.49655700076511095,0.7868687389062434,0.7968084161420792,0.7821291582560966,0.7838601206175241,0.7792231209108237,0.7823055690937126,0.7882690695528777,0.7927895053117148,0.004739580650146791,0.01294829552455512,0.00764561799541974,0.014502847048366574,0.006139911296781042,0.00892938469419069,0.9371412296203633
gsm8k_phi3mini_t1.0,noise_gsm8k_phi3mini,1315,1319,1315,1315,0.28821292775665397,0.669623728660668,0.4650173336492482,0.6727640213787971,0.4772403613257305,0.6802370159889948,0.4768927547796913,0.6774321764427305,0.477757147018971,-0.0031402927181291007,-0.012223027676482312,-0.010613287328326781,-0.011875421130443098,0.004668155063933366,0.0005167856932404846,0.819045202086207
triviaqa_qwen3_t0.6,semenergy_triviaqa_qwen3_8b,5000,4392,4392,465,0.523224043715847,0.8347308776453591,0.8516410520924134,0.8078932471490096,0.8355478151699849,0.8130966838819188,0.8397092025436912,0.8338142132646387,0.8550139051047887,0.026837630496349574,0.016093236922428478,0.021634193763440335,0.011931849548722173,0.025920966115629107,0.01946608993480381,0.8873599202772668
